1,Acheta-domestica-densovirus_taxid_185639.gbk,ID:YP_227599.1 |[Acheta domestica densovirus]||Acheta-domestica-densovirus_taxid_185639.gbk|Putative nonstructur..|642|NC_004290(5234):129-770:1 ^GeneID:5075922^ Acheta domesticus densovirus, complete genome.|neighbours:start(),ID:YP_227600.1(1)|neighbour_genes:start(),Putative nonstructur..|
2,Acheta-domestica-densovirus_taxid_185639.gbk,ID:YP_227600.1 |[Acheta domestica densovirus]||Acheta-domestica-densovirus_taxid_185639.gbk|Putative nonstructur..|1731|NC_004290(5234):760-2490:1 ^GeneID:5075918^ Acheta domesticus densovirus, complete genome.|neighbours:ID:YP_227599.1(1),ID:YP_227601.1(1)|neighbour_genes:Putative nonstructur..,Putative nonstructur..|
3,Acheta-domestica-densovirus_taxid_185639.gbk,ID:YP_227601.1 |[Acheta domestica densovirus]||Acheta-domestica-densovirus_taxid_185639.gbk|Putative nonstructur..|861|NC_004290(5234):779-1639:1 ^GeneID:5075920^ Acheta domesticus densovirus, complete genome.|neighbours:ID:YP_227600.1(1),ID:YP_227602.1(-1)|neighbour_genes:Putative nonstructur..,Putative structural ..|
4,Acheta-domestica-densovirus_taxid_185639.gbk,ID:YP_227602.1 |[Acheta domestica densovirus]||Acheta-domestica-densovirus_taxid_185639.gbk|Putative structural ..|1794|NC_004290(5234):2509-4302:-1 ^GeneID:5075919^ Acheta domesticus densovirus, complete genome.|neighbours:ID:YP_227601.1(1),ID:YP_227603.1(-1)|neighbour_genes:Putative nonstructur..,Putative structural ..|
5,Acheta-domestica-densovirus_taxid_185639.gbk,ID:YP_227603.1 |[Acheta domestica densovirus]||Acheta-domestica-densovirus_taxid_185639.gbk|Putative structural ..|807|NC_004290(5234):4328-5134:-1 ^GeneID:5075921^ Acheta domesticus densovirus, complete genome.|neighbours:ID:YP_227602.1(-1),end()|neighbour_genes:Putative structural ..,end()|
6,Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk,ID:YP_008658567.1 |[Acheta domestica mini ambidensovirus]||Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk|NS3|666|NC_022564(4945):283-948:1 ^GeneID:17165486^ Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome.|neighbours:start(),ID:YP_008658568.1(1)|neighbour_genes:start(),NS1|
7,Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk,ID:YP_008658568.1 |[Acheta domestica mini ambidensovirus]||Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk|NS1|1488|NC_022564(4945):1176-2663:1 ^GeneID:17165483^ Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome.|neighbours:ID:YP_008658567.1(1),ID:YP_008658569.1(1)|neighbour_genes:NS3,NS2|
8,Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk,ID:YP_008658569.1 |[Acheta domestica mini ambidensovirus]||Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk|NS2|669|NC_022564(4945):1198-1866:1 ^GeneID:17165484^ Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome.|neighbours:ID:YP_008658568.1(1),ID:YP_008658570.1(-1)|neighbour_genes:NS1,VP1|
9,Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk,ID:YP_008658570.1 |[Acheta domestica mini ambidensovirus]||Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk|VP1|2049|NC_022564(4945):2664-4712:-1 ^GeneID:17165485^ Acheta domesticus mini ambidensovirus isolate Kalamazoo, complete genome.|neighbours:ID:YP_008658569.1(1),end()|neighbour_genes:NS2,end()|
10,Adeno-associated-virus--1_taxid_85106.gbk,ID:NP_049541.1 |[Adeno-associated virus - 1]||Adeno-associated-virus--1_taxid_85106.gbk|nonstructural protei..|1872|NC_002077(4718):335-2206:1 ^GeneID:1450375^ Adeno-associated virus - 1, complete genome.|neighbours:start(),ID:NP_049542.1(1)|neighbour_genes:start(),capsid protein|
11,Adeno-associated-virus--1_taxid_85106.gbk,ID:NP_049542.1 |[Adeno-associated virus - 1]||Adeno-associated-virus--1_taxid_85106.gbk|capsid protein|2211|NC_002077(4718):2223-4433:1 ^GeneID:1450374^ Adeno-associated virus - 1, complete genome.|neighbours:ID:NP_049541.1(1),end()|neighbour_genes:nonstructural protei..,end()|
12,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680422.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|Rep 68 protein|1611|NC_001401(4679):321-2252:1 ^GeneID:4192013^ |neighbours:start(),ID:YP_680423.1(1)|neighbour_genes:start(),Rep 78 protein|
13,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680423.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|Rep 78 protein|1866|NC_001401(4679):321-2186:1 ^GeneID:1489608^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680422.1(1),ID:YP_680424.1(1)|neighbour_genes:Rep 68 protein,Rep 40 protein|
14,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680424.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|Rep 40 protein|939|NC_001401(4679):993-2252:1 ^GeneID:4192014^ |neighbours:ID:YP_680423.1(1),ID:YP_680425.1(1)|neighbour_genes:Rep 78 protein,Rep 52 protein|
15,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680425.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|Rep 52 protein|1194|NC_001401(4679):993-2186:1 ^GeneID:1489607^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680424.1(1),ID:YP_680426.1(1)|neighbour_genes:Rep 40 protein,major coat protein V..|
16,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680426.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|major coat protein V..|2208|NC_001401(4679):2203-4410:1 ^GeneID:4192017^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680425.1(1),ID:YP_680427.1(1)|neighbour_genes:Rep 52 protein,major coat protein V..|
17,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680427.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|major coat protein V..|1797|NC_001401(4679):2614-4410:1 ^GeneID:4192015^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680426.1(1),ID:YP_004030758.1(1)|neighbour_genes:major coat protein V..,assembly activating ..|
18,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_004030758.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|assembly activating ..|615|NC_001401(4679):2729-3343:1 ^GeneID:4192015^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680427.1(1),ID:YP_680428.1(1)|neighbour_genes:major coat protein V..,major coat protein V..|
19,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_680428.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|major coat protein V..|1602|NC_001401(4679):2809-4410:1 ^GeneID:4192016^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_004030758.1(1),ID:YP_009110690.1(1)|neighbour_genes:assembly activating ..,X gene|
20,Adeno-associated-virus--2_taxid_10804.gbk,ID:YP_009110690.1 |[Adeno-associated virus - 2]||Adeno-associated-virus--2_taxid_10804.gbk|X gene|468|NC_001401(4679):3929-4396:1 ^GeneID:22318903^ Adeno-associated virus - 2, complete genome.|neighbours:ID:YP_680428.1(1),end()|neighbour_genes:major coat protein V..,end()|
