"","GO:0003743","GO:0003677","GO:0003697","GO:0004519","GO:0008565","GO:0003916","GO:0003910","GO:0050404"
"1_II",NA,NA,NA,TRUE,NA,NA,TRUE,NA
"2_X",NA,NA,NA,TRUE,NA,NA,TRUE,NA
"3_V",NA,NA,TRUE,NA,NA,NA,NA,NA
"9_I",NA,NA,NA,NA,NA,NA,NA,TRUE
"10_IV",NA,NA,NA,NA,TRUE,NA,NA,NA
"12_IV",NA,NA,NA,NA,TRUE,NA,NA,NA
"13_replication_initiati..",NA,NA,NA,TRUE,NA,NA,TRUE,NA
"14_X",NA,NA,NA,TRUE,NA,NA,TRUE,NA
"88_DNA_replication_init..",TRUE,TRUE,NA,NA,NA,TRUE,NA,NA
"94_putative_assembly_pr..",NA,NA,NA,NA,NA,NA,NA,TRUE
"70_putative_assembly_pr..",NA,NA,NA,NA,NA,NA,NA,TRUE
"85_VSK-tox1",NA,NA,NA,NA,NA,NA,NA,TRUE
