source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Genomoviridae/cluster_2_homologues_19062021_0746_intersection	1_capsid.faa	2_rep.faa	6_replication-associat...faa	22_replication-associat...faa	68_hyp.faa	71_rep1.faa	72_hyp.faa	90_putative_V2_protein.faa	93_putative_V3_protein.faa
Badger-associated-gemykibivirus-1_taxid_1634484.gbk	1	1	0	0	0	0	0	0	0
Bark-beetle-associated-genomovirus-1_taxid_2230896.gbk	1	1	0	0	0	0	0	0	0
Bark-beetle-associated-genomovirus-5_taxid_2230900.gbk	1	0	1	0	0	0	0	0	0
Bemisia-associated-genomovirus-AdDF_taxid_1986477.gbk	1	0	1	0	0	0	0	0	0
Bemisia-associated-genomovirus-AdO_taxid_1986478.gbk	1	0	1	0	0	0	0	0	0
Bemisia-associated-genomovirus-NfO_taxid_1986479.gbk	1	1	0	0	0	0	0	0	0
Black-robin-associated-gemykibivirus-1_taxid_1391037.gbk	1	0	1	0	0	0	0	0	0
Blackbird-associated-gemycircularvirus-1_taxid_1985371.gbk	1	0	1	0	0	0	0	0	0
Caribou-feces-associated-gemycircularvirus_taxid_1542743.gbk	1	1	0	0	0	0	0	0	0
Cassava-associated-gemycircularvirus-1_taxid_1985374.gbk	1	1	0	0	0	0	0	0	0
Common-bean-associated-gemycircularvirus_taxid_1897538.gbk	1	0	0	1	0	0	0	0	0
Dragonfly-associated-circular-virus-2_taxid_1234886.gbk	1	0	2	0	0	0	0	0	0
Dragonfly-associated-circular-virus-3_taxid_1234884.gbk	1	0	2	0	0	0	0	0	0
Dragonfly-associated-gemykibivirus-1_taxid_1234887.gbk	1	1	1	0	0	0	0	0	0
Euphorbia-heterophylla-associated-gemycircularvirus_taxid_2291614.gbk	1	0	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-10_taxid_1391025.gbk	1	1	0	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-11_taxid_1391026.gbk	1	1	0	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-14_taxid_1843734.gbk	1	2	0	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-15_taxid_1843735.gbk	1	1	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-17_taxid_1843737.gbk	1	0	0	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-18_taxid_1843738.gbk	1	2	0	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-20_taxid_1843740.gbk	1	1	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-22_taxid_1843742.gbk	1	0	2	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-2_taxid_1391031.gbk	1	0	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-3_taxid_1391032.gbk	1	0	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-4_taxid_1391033.gbk	1	0	1	0	0	0	0	0	0
Faeces-associated-gemycircularvirus-5_taxid_1391034.gbk	1	0	1	0	0	0	0	0	0
Gemycircularvirus-HV-GcV1_taxid_1862824.gbk	1	0	0	0	1	1	0	0	0
Gemycircularvirus-HV-GcV2_taxid_1862825.gbk	1	0	1	0	0	0	1	0	0
Gemycircularvirus-SL1_taxid_1588764.gbk	1	1	0	0	0	0	0	0	0
Gemycircularvirus-gemy-ch-rat1_taxid_1708653.gbk	1	0	1	0	0	1	0	0	0
Gopherus-associated-genomovirus-1_taxid_2041417.gbk	1	0	2	0	0	0	0	0	0
Human-gemycircularvirus-GeTz1_taxid_1792832.gbk	1	0	1	0	0	1	0	0	0
Human-genital-associated-circular-DNA-virus-1_taxid_1488574.gbk	1	0	2	0	0	0	0	0	0
Hypericum-japonicum-associated-circular-DNA-virus_taxid_1367218.gbk	1	0	1	0	0	1	0	1	1
Lepus-americanus-faeces-associated-genomovirus-SHP111_taxid_2219118.gbk	1	0	1	0	0	0	0	0	0
Lepus-americanus-faeces-associated-genomovirus-SHP7_taxid_2219120.gbk	1	0	1	0	0	0	0	0	0
Lynx-canadensis-faeces-associated-genomovirus-CL1-148_taxid_2219123.gbk	1	0	1	0	0	0	0	0	0
MSSI2225-virus_taxid_1516081.gbk	1	0	1	0	0	0	0	0	0
Mongoose-feces-associated-gemycircularvirus-b_taxid_1634486.gbk	1	0	1	0	0	0	0	0	0
Mongoose-feces-associated-gemycircularvirus-d_taxid_1634487.gbk	1	0	1	0	0	0	0	0	0
Odonata-associated-gemycircularvirus-2_taxid_1592108.gbk	1	1	0	0	0	0	0	0	0
Pacific-flying-fox-faeces-associated-gemycircularvirus-10_taxid_1795989.gbk	1	1	1	0	0	0	0	0	0
Pacific-flying-fox-faeces-associated-gemycircularvirus-1_taxid_1795988.gbk	1	0	2	0	0	0	0	0	0
Pacific-flying-fox-faeces-associated-gemycircularvirus-2_taxid_1795994.gbk	1	0	2	0	0	0	0	0	0
Pacific-flying-fox-faeces-associated-gemycircularvirus-6_taxid_1795998.gbk	1	0	0	1	0	0	0	0	0
Pacific-flying-fox-faeces-associated-gemycircularvirus-7_taxid_1795999.gbk	1	0	0	2	0	0	0	0	0
Poaceae-associated-gemycircularvirus-1_taxid_1708497.gbk	1	2	0	0	0	0	0	0	0
Poecile-atricapillus-GI-tract-associated-gemycircularvirus_taxid_1699094.gbk	1	0	1	0	0	0	0	0	0
Porcine-feces-associated-gemycircularvirus_taxid_2017712.gbk	1	0	1	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-10_taxid_1985404.gbk	1	0	2	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-3_taxid_1985397.gbk	1	0	2	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-4_taxid_1985398.gbk	1	2	0	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-5_taxid_1985399.gbk	1	0	2	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-6_taxid_1985400.gbk	1	0	2	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-7_taxid_1985401.gbk	1	0	2	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-8_taxid_1985402.gbk	1	1	1	0	0	0	0	0	0
Pteropus-associated-gemycircularvirus-9_taxid_1985403.gbk	1	0	2	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-10a_taxid_1519409.gbk	1	1	1	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-1_taxid_1592081.gbk	1	0	1	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-2_taxid_1519407.gbk	1	1	1	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-5_taxid_1519400.gbk	1	0	2	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-7b_taxid_1519405.gbk	1	0	2	0	0	0	0	0	0
Sewage-associated-gemycircularvirus-9_taxid_1519404.gbk	1	0	2	0	0	0	0	0	0
Sewage-derived-gemycircularvirus-1_taxid_1985407.gbk	1	1	1	0	0	0	0	0	0
Sewage-derived-gemycircularvirus-2_taxid_1985408.gbk	1	0	2	0	0	0	0	0	0
Sierra-dome-spider-associated-circular-virus-1_taxid_2293299.gbk	1	0	1	0	0	0	0	0	0
Soybean-leaf-associated-gemycircularvirus-1_taxid_1719040.gbk	1	0	1	0	0	0	0	0	0
Termite-associated-circular-virus-2_taxid_2108550.gbk	1	0	1	0	0	0	0	0	0
Thrips-associated-genomovirus-1_taxid_1941233.gbk	1	0	2	0	0	0	0	0	0
Thrips-associated-genomovirus-2_taxid_1941234.gbk	1	1	1	0	0	0	0	0	0
Thrips-associated-genomovirus-3_taxid_1941237.gbk	1	1	1	0	0	0	0	0	0
Thrips-associated-genomovirus-4_taxid_1941239.gbk	1	0	0	1	0	0	0	0	0
Tubeweb-spider-associated-circular-virus-1_taxid_2293308.gbk	1	0	0	0	0	0	0	0	0
Varroa-mite-associated-genomovirus-1_taxid_2077299.gbk	1	0	2	0	0	0	0	0	0
