1,96,192
2,219,412
3,32,59.7
4,27,51.2
5,57,109
6,485,933
7,90,168
8,308,610
9,405,810
10,101,203
11,58,118
12,44,83.6
13,483,973
14,93,174
15,430,861
16,301,624
17,278,579
18,71,150
19,78,164
20,105,213
21,90,180
22,79,159
23,69,124
24,465,920
25,105,198
26,381,785
27,60,121
28,384,788
29,68,139
30,375,774
31,103,213
32,89,172
33,111,222
34,26,51.2
35,411,832
36,87,157
37,156,318
38,368,754
39,100,204
40,63,132
41,45,83.6
42,328,645
43,94,175
44,404,842
45,112,223
46,150,293
47,446,896
48,97,188
49,30,60.5
50,34,68.6
51,46,90.5
52,506,1019
53,142,268
54,318,647
55,393,822
56,42,88.2
57,373,734
58,43,82.4
59,55,103
60,204,422
61,37,72.8
62,207,434
63,378,788
64,96,196
65,346,694
66,43,84.3
67,55,103
68,204,421
69,37,73.2
70,207,432
71,378,788
72,73,149
73,392,776
74,43,82.4
75,55,103
76,204,420
77,37,73.2
78,207,433
