source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Inoviridae/Inoviridae_all_homologues_19062021_0754_intersection	Enterobacteria-phage-fd_taxid_10864.gbk	Escherichia-phage-If1_taxid_10868.gbk	Escherichia-virus-I22_taxid_10869.gbk	Escherichia-virus-M13_taxid_1977402.gbk	Propionibacterium-phage-B5_taxid_189836.gbk	Pseudomonas-phage-Pf3_taxid_10872.gbk	Pseudomonas-virus-Pf1_taxid_2011081.gbk	Ralstonia-phage-1-NP-2014_taxid_1460070.gbk	Ralstonia-phage-PE226_taxid_926543.gbk	Ralstonia-phage-RS603_taxid_1505528.gbk	Ralstonia-phage-RSM1_taxid_384359.gbk	Ralstonia-phage-RSM3_taxid_520962.gbk	Ralstonia-phage-RSS0_taxid_1150992.gbk	Ralstonia-phage-RSS1_taxid_384360.gbk	Ralstonia-phage-RSS20_taxid_1354496.gbk	Ralstonia-phage-Rs551_taxid_1852598.gbk	Ralstonia-phage-p12J_taxid_247080.gbk	Salmonella-phage-IKe_taxid_10867.gbk	Stenotrophomonas-phage-PSH1_taxid_2011087.gbk	Stenotrophomonas-phage-SMA6_taxid_1346893.gbk	Stenotrophomonas-phage-SMA7_taxid_1343494.gbk	Stenotrophomonas-phage-SMA9_taxid_334856.gbk	Stenotrophomonas-phage-phiSHP2_taxid_1027253.gbk	Thermus-phage-phiOH3_taxid_1968339.gbk	Uncultured-phage-WW-nAnB-strain-2_taxid_1449896.gbk	Uncultured-phage-WW-nAnB-strain-3_taxid_1449897.gbk	Vibrio-phage-CTXphi_taxid_2785247.gbk	Vibrio-phage-KSF1_taxid_292443.gbk	Vibrio-phage-VCY-phi_taxid_1105327.gbk	Vibrio-phage-VEJphi_taxid_642111.gbk	Vibrio-phage-VFJ_taxid_1340745.gbk	Vibrio-phage-VGJ_taxid_223524.gbk	Vibrio-phage-VSK_taxid_181604.gbk	Vibrio-phage-Vf12_taxid_127511.gbk	Vibrio-phage-VfO3K6_taxid_127507.gbk	Vibrio-phage-VfO4K68_taxid_127508.gbk	Vibrio-phage-fs2_taxid_83201.gbk	Vibrio-virus-Vf33_taxid_127509.gbk	Vibrio-virus-fs1_taxid_70203.gbk	Xanthomonas-phage-Xf109_taxid_1852597.gbk	Xanthomonas-virus-Cf1c_taxid_10862.gbk	uncultured-phage-WW-nAnB_taxid_1074044.gbk	
1_II.faa	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2_X.faa	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4_VII.faa	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5_IX.faa	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6_VIII.faa	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7_III.faa	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8_VI.faa	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9_I.faa	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
10_IV.faa	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11_ss-DNA_binding_prote...faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13_IX.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15_III.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20_hypothetical_protein.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22_IV.faa	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
23_replication_initiati...faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24_X.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25_gene_V_product.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26_VII.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27_IX.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29_III.faa	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
41_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
42_Putative_structural_...faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
43_Putative_structural_...faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
44_Putative_coat_protei...faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45_Putative_structural_...faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46_Putative_structural_...faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
47_hypothetical_protein.faa	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
