"","Viral_coat","Gemini_AL1","Gemini_coat","RNA_helicase","Viral_Rep","Circo_capsid","TNV_CP","Gemini_AL1_M","Parvo_coat_N"
"1_putative_viral_repli..",NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA
"3_putative_replication..",NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"9_putative_capsid_prot..",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"27_putative_capsid_prot..",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"42_replication-associat..",NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"68_putative_capsid_prot..",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"70_cap",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"99_putative_capsid_prot..",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"101_replication_associat..",NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"102_replication_associat..",NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
"134_putative_viral_capsi..",TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"136_putative_viral_capsi..",NA,NA,NA,NA,NA,NA,TRUE,NA,NA
"141_putative_viral_capsi..",NA,NA,TRUE,NA,NA,NA,NA,NA,NA
"152_replication-associat..",NA,NA,NA,TRUE,NA,NA,NA,NA,NA
"169_hypothetical_protein",NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"189_hypothetical_protein",NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"222_putative_replication..",NA,NA,NA,NA,TRUE,NA,NA,NA,NA
"368_putative_replication..",NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA
"376_Cap",TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"400_capsid_protein",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
"413_putative_capsid_prot..",NA,NA,NA,NA,NA,TRUE,NA,NA,NA
