X	cluster_name	size	taxa	Pfam_IDs	aa_file	na_file	taxids	Percentage_prevalence	Prevalencia_final_v1	Prevalencia_final_v2
1	1_hypothetical_protein	1	1		1_hypothetical_protein.faa	1_hypothetical_protein.fna	2249930	1.0204081632653061	1.0204081632653061	1.0204081632653061
2	2_VP2	2	2	PF02957_	2_VP2.faa	2_VP2.fna	2249930_1670973	2.0408163265306123	2.0408163265306123	2.0408163265306123
3	3_VP1	7	7	PF04162_	3_VP1.faa	3_VP1.fna	2249930_1002273_12618_1163715_1548711_1670973_1415628	7.142857142857142	7.142857142857142	7.142857142857142
4	4_ORF3	1	1		4_ORF3.faa	4_ORF3.fna	2249930	1.0204081632653061	1.0204081632653061	1.0204081632653061
5	5_putative_dual-specif..	5	5	PF02957_	5_putative_dual-specif...faa	5_putative_dual-specif...fna	1002273_12618_1163715_1548711_1415628	5.1020408163265305	5.1020408163265305	5.1020408163265305
6	6_VP3	5	5	PF04771_	6_VP3.faa	6_VP3.fna	1002273_12618_1163715_1548711_1415628	5.1020408163265305	5.1020408163265305	5.1020408163265305
7	8_hypothetical_protein	1	1		8_hypothetical_protein.faa	8_hypothetical_protein.fna	12618	1.0204081632653061	1.0204081632653061	1.0204081632653061
8	12_ORF2	2	2		12_ORF2.faa	12_ORF2.fna	2016460_1514665	2.0408163265306123	2.0408163265306123	2.0408163265306123
9	13_ORF1	9	9	PF02956_	13_ORF1.faa	13_ORF1.fna	2016460_1427157_1427156_991022_2012676_2012677_2065043_687384_1218490	9.183673469387756	9.183673469387756	9.183673469387756
10	14_ORF3	1	1		14_ORF3.faa	14_ORF3.fna	2016460	1.0204081632653061	1.0204081632653061	1.0204081632653061
11	15_ORF2	59	59	PF02957_	15_ORF2.faa	15_ORF2.fna	1743411_1619218_1619219_1619220_1629656_289366_289367_93678_687383_2065051_2065052_2065053_2065054_2065055_687379_687380_2065044_2065045_2065046_2065047_2065048_2065049_2065050_2065036_2065037_2065038_1859149_687369_687370_687371_687372_687373_687374_687375_687376_687377_1535290_687349_687350_687351_687352_687353_687354_687355_687358_687359_687360_687362_687363_687364_687367_687368_687341_687342_687343_687344_687345_687346_687347	60.204081632653065	60.204081632653065	60.204081632653065
12	16_ORF1	74	73	PF02956_	16_ORF1.faa	16_ORF1.fna	1743411_2012640_1514665_2054610_2054610_2054613_1619218_1619219_1619220_1629656_1629657_289366_289367_93678_1543419_687383_2010248_2065051_2065052_2065053_2065054_2065055_2065056_687379_687380_2065044_2065045_2065046_2065047_2065048_2065049_2065050_2065036_2065037_2065038_1859149_687369_687370_687371_687372_687373_687374_687375_687376_687377_1535290_1535291_1968861_1239832_687382_687349_687350_687351_687352_687354_687355_687358_687340_687359_687360_687362_687363_687364_687365_687366_687367_687368_687341_687342_687343_687344_687345_687346_687347	74.48979591836735	74.48979591836735	74.48979591836735
13	17_VP2	1	1		17_VP2.faa	17_VP2.fna	1214955	1.0204081632653061	1.0204081632653061	1.0204081632653061
14	18_VP1	2	2	PF04162_PF04162_PF04162_	18_VP1.faa	18_VP1.fna	1214955_1415627	2.0408163265306123	2.0408163265306123	2.0408163265306123
15	26_Hypothetical_protein	1	1		26_Hypothetical_protein.faa	26_Hypothetical_protein.fna	1670973	1.0204081632653061	1.0204081632653061	1.0204081632653061
16	28_VP2	1	1	PF02957_	28_VP2.faa	28_VP2.fna	1415627	1.0204081632653061	1.0204081632653061	1.0204081632653061
17	29_hypothetical_protein	1	1		29_hypothetical_protein.faa	29_hypothetical_protein.fna	1415627	1.0204081632653061	1.0204081632653061	1.0204081632653061
18	34_ORF3	2	1	PF02957_	34_ORF3.faa	34_ORF3.fna	2012640_2012640	1.0204081632653061	1.0204081632653061	1.0204081632653061
19	39_ORF3	1	1		39_ORF3.faa	39_ORF3.fna	1514665	1.0204081632653061	1.0204081632653061	1.0204081632653061
20	41_putative_ORF1	4	3	PF02956_PF02956_	41_putative_ORF1.faa	41_putative_ORF1.fna	2054610_2054611_2054611_687385	3.061224489795918	3.061224489795918	3.061224489795918
21	42_hypothetical_protein	1	1		42_hypothetical_protein.faa	42_hypothetical_protein.fna	2054610	1.0204081632653061	1.0204081632653061	1.0204081632653061
22	44_hypothetical_protein	2	2		44_hypothetical_protein.faa	44_hypothetical_protein.fna	2054610_2054613	2.0408163265306123	2.0408163265306123	2.0408163265306123
