source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Microviridae/cluster_1_homologues_19062021_0758_intersection	3_minor_capsid_protein.faa	4_hypothetical_protein.faa	5_major_capsid_protein.faa	6_minor_capsid_protein.faa	8_nonstructural_protei...faa	9_minor_capsid_protein.faa	10_hypothetical_protein.faa	12_hypothetical_protein.faa	14_hypothetical_protein.faa	18_minor_capsid_protein.faa	19_replication_initiati...faa	20_major_capsid_protein.faa	21_hypothetical_protein.faa	22_minor_capsid_protein.faa	26_minor_capsid_protein.faa	29_hypothetical_protein.faa	30_hypothetical_protein.faa	31_hypothetical_protein.faa	33_hypothetical_protein.faa	36_putative_DNA_binding...faa	37_hypothetical_protein.faa	38_minor_CP_2.faa	46_hypothetical_protein.faa	52_nonstructural_protei...faa	53_nonstructural_protei...faa	56_nonstructural_protei...faa	64_ORF8.faa	72_hypothetical_protein.faa	73_hypothetical_protein.faa	74_nonstructural_protei...faa	83_hypothetical_protein.faa	84_minor_capsid_protein.faa	87_hypothetical_protein.faa	89_nonstructural_protei...faa	94_A.faa	96_B.faa	97_K.faa	98_C.faa	99_D.faa	100_E.faa	102_F.faa	103_G.faa	104_H.faa	106_vp5.faa	109_vp2.faa	110_vp8.faa	161_DNA_pilot_protein_VP...faa	163_hypothetical_protein.faa	169_hypothetical_protein.faa	175_hypothetical_protein.faa	178_hypothetical_protein.faa	190_minor_capsid_protein.faa	197_hypothetical_protein.faa	200_hypothetical_protein.faa	213_hypothetical_protein.faa	223_hypothetical_protein.faa	225_hypothetical_protein.faa	228_hypothetical_protein.faa	238_hypothetical_protein.faa	245_hypothetical_protein.faa	247_hypothetical_protein.faa	248_hypothetical_protein.faa	249_DNA_pilot_protein_VP...faa	251_M16p1.faa	252_replication_initiato...faa	253_M16p3.faa	254_M16p4.faa	255_M16p5.faa	256_M16p6.faa	257_major_capsid_protein.faa	258_p10.faa	262_p4.faa	263_p5.faa	264_p6.faa	265_p7.faa	266_p8.faa	267_p9.faa	270_hypothetical_protein.faa	271_hypothetical_protein.faa	279_hypothetical_protein.faa	280_hypothetical_protein.faa	281_hypothetical_protein.faa	282_hypothetical_protein.faa	283_hypothetical_protein.faa	285_minor_capsid_protein.faa	286_hypothetical_protein.faa
Alces-alces-faeces-associated-microvirus-MP10-5560_taxid_2219133.gbk	ID:YP_009551428.1,	ID:YP_009551429.1,	ID:YP_009551430.1,	ID:YP_009551431.1,	-	-	-	-	-	-	ID:YP_009551426.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alces-alces-faeces-associated-microvirus-MP11-5517_taxid_2219134.gbk	-	-	ID:YP_009551409.1,	-	ID:YP_009551406.1,	ID:YP_009551407.1,	ID:YP_009551408.1,	ID:YP_009551410.1,	-	-	ID:YP_009551405.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alces-alces-faeces-associated-microvirus-MP12-5423_taxid_2219135.gbk	ID:YP_009551373.1,	-	ID:YP_009551374.1,	-	-	-	-	-	ID:YP_009551371.1,	ID:YP_009551375.1,	ID:YP_009551370.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alces-alces-faeces-associated-microvirus-MP15-5067_taxid_2219136.gbk	-	-	-	-	-	-	-	-	-	-	ID:YP_009551479.1,	ID:YP_009551480.1,	ID:YP_009551481.1,	ID:YP_009551482.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alces-alces-faeces-associated-microvirus-MP18-4940_taxid_2219137.gbk	ID:YP_009551477.1,	-	-	-	-	-	-	-	-	-	ID:YP_009551475.1,	-	-	-	ID:YP_009551478.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Bdellovibrio-phage-phiMH2K_taxid_145579.gbk	-	-	ID:NP_073538.1,	-	-	ID:NP_073544.1,	-	-	-	-	ID:NP_073537.1,	-	-	-	-	ID:NP_073539.1,	ID:NP_073540.1,	ID:NP_073541.1,	ID:NP_073543.1,	ID:NP_073546.1,	ID:NP_073547.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chimpanzee-faeces-associated-microphage-1_taxid_1676181.gbk	-	-	ID:YP_009259727.1,	-	-	ID:YP_009259726.1,	-	-	-	-	ID:YP_009259725.1,	-	-	-	-	-	-	-	-	-	-	ID:YP_009259724.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chimpanzee-faeces-associated-microphage-2_taxid_1676182.gbk	ID:YP_009259741.1,	-	ID:YP_009259742.1,	-	-	-	-	-	-	-	ID:YP_009259740.1,	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009259744.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Chimpanzee-faeces-associated-microphage-3_taxid_1676183.gbk	-	-	ID:YP_009259688.1,	-	-	ID:YP_009259687.1,	-	-	-	-	ID:YP_009259686.1,	-	-	-	-	-	-	-	-	-	-	ID:YP_009259685.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
