source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Alphasatellitidae/Alphasatellitidae_all_homologues_19062021_0405_intersection	Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk	Coconut-foliar-decay-alphasatellite-3_taxid_2161876.gbk	Coconut-foliar-decay-alphasatellite-7_taxid_2161880.gbk	Cuban-alphasatellite-1_taxid_1188819.gbk	Cucurbit-yellow-mosaic-alphasatellite_taxid_1819678.gbk	Faba-bean-necrotic-yellows-C1-alphasatellite_taxid_1453080.gbk	Melon-chlorotic-mosaic-alphasatellite_taxid_2169825.gbk	Nanovirus-like-particle_taxid_96892.gbk	Okra-leaf-curl-alphasatellite_taxid_518829.gbk	
4_v2.faa	ID:YP_004046685.1,	-	-	-	-	-	-	-	-	
5_rep.faa	ID:YP_004046686.1,	-	-	-	-	-	-	-	-	
6_rep.faa	ID:YP_004046687.1,	-	-	-	-	-	-	-	-	
25_truncated_replicatio...faa	-	ID:YP_009553053.1,	-	-	-	-	-	-	-	
26_hypothetical_protein.faa	-	ID:YP_009552698.1,	-	-	-	-	-	-	-	
27_replication_initiato...faa	-	ID:YP_009552699.1,	-	-	ID:YP_009246456.1,	ID:YP_009058890.1,	-	ID:YP_009508879.1,ID:YP_009508877.1,ID:YP_009508878.1,	ID:YP_001856218.1,ID:YP_031730.1,	
29_replication_initiato...faa	-	-	ID:YP_009553579.1,	ID:YP_008169853.1,	-	-	ID:YP_003828902.1,	-	-	
30_hypothetical_protein.faa	-	-	ID:YP_009553580.1,	-	-	-	-	-	-	
37_V2.faa	-	-	-	ID:YP_008169854.1,	ID:YP_009246457.1,	-	ID:YP_003828903.1,	-	-	
44_orf2.faa	-	-	-	-	-	ID:YP_009058889.1,	-	-	-	
46_orf3.faa	-	-	-	-	-	ID:YP_009058891.1,	-	-	-	
