source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Alphasatellitidae/Alphasatellitidae_all_homologues_19062021_0405_intersection	4_v2.faa	5_rep.faa	6_rep.faa	25_truncated_replicatio...faa	26_hypothetical_protein.faa	27_replication_initiato...faa	29_replication_initiato...faa	30_hypothetical_protein.faa	37_V2.faa	44_orf2.faa	46_orf3.faa
Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk	ID:YP_004046685.1,	ID:YP_004046686.1,	ID:YP_004046687.1,	-	-	-	-	-	-	-	-
Coconut-foliar-decay-alphasatellite-3_taxid_2161876.gbk	-	-	-	ID:YP_009553053.1,	ID:YP_009552698.1,	ID:YP_009552699.1,	-	-	-	-	-
Coconut-foliar-decay-alphasatellite-7_taxid_2161880.gbk	-	-	-	-	-	-	ID:YP_009553579.1,	ID:YP_009553580.1,	-	-	-
Cuban-alphasatellite-1_taxid_1188819.gbk	-	-	-	-	-	-	ID:YP_008169853.1,	-	ID:YP_008169854.1,	-	-
Cucurbit-yellow-mosaic-alphasatellite_taxid_1819678.gbk	-	-	-	-	-	ID:YP_009246456.1,	-	-	ID:YP_009246457.1,	-	-
Faba-bean-necrotic-yellows-C1-alphasatellite_taxid_1453080.gbk	-	-	-	-	-	ID:YP_009058890.1,	-	-	-	ID:YP_009058889.1,	ID:YP_009058891.1,
Melon-chlorotic-mosaic-alphasatellite_taxid_2169825.gbk	-	-	-	-	-	-	ID:YP_003828902.1,	-	ID:YP_003828903.1,	-	-
Nanovirus-like-particle_taxid_96892.gbk	-	-	-	-	-	ID:YP_009508879.1,ID:YP_009508877.1,ID:YP_009508878.1,	-	-	-	-	-
Okra-leaf-curl-alphasatellite_taxid_518829.gbk	-	-	-	-	-	ID:YP_001856218.1,ID:YP_031730.1,	-	-	-	-	-
