1,1,1,154,1,154,4.17e-112,316
1,5,18,92,18,93,7.05e-21,85.5
2,2,1,221,1,221,1.45e-158,439
2,6,75,221,21,177,8.76e-12,63.9
3,3,1,372,1,372,0.0,783
3,7,2,372,3,374,2.66e-149,428
3,16,51,363,43,365,9.76e-44,157
3,12,12,345,20,356,1.10e-43,157
3,28,3,346,10,353,1.10e-25,108
3,22,52,345,57,368,2.69e-19,90.9
3,25,14,340,23,365,2.35e-16,82.4
3,31,4,340,5,360,1.77e-13,73.6
4,4,1,513,1,513,0.0,1084
4,8,1,498,28,523,0.0,609
4,17,60,484,2,415,1.50e-159,462
4,29,104,493,51,435,2.16e-152,444
4,32,71,481,47,450,1.12e-138,411
4,19,104,481,158,532,1.84e-137,411
4,26,15,481,19,490,1.25e-136,407
4,13,34,509,13,474,4.97e-116,352
5,5,1,155,1,155,1.52e-112,317
5,1,18,92,18,91,6.58e-21,85.5
6,6,1,178,1,178,2.27e-127,357
6,2,21,137,75,200,2.20e-11,62.4
7,7,1,377,1,377,0.0,789
7,3,24,374,29,372,5.19e-154,440
7,16,52,366,44,365,8.65e-50,173
7,12,30,357,29,357,6.81e-47,166
7,28,4,353,6,357,5.88e-25,107
7,22,30,348,35,368,3.06e-21,96.7
7,25,20,343,25,365,7.84e-20,92.4
7,31,5,350,3,367,2.53e-17,85.1
8,8,1,532,1,532,0.0,1119
8,4,28,523,1,498,0.0,609
8,17,93,508,8,414,2.72e-163,472
8,29,68,508,6,428,2.38e-150,440
8,26,129,506,120,490,2.06e-140,417
8,19,129,522,158,548,1.24e-139,417
8,32,105,528,53,472,4.51e-133,397
8,13,53,526,13,463,5.30e-115,350
9,9,1,235,1,235,3.93e-170,469
10,10,1,174,1,174,7.62e-125,350
11,11,1,210,1,210,4.05e-154,427
12,12,1,369,1,369,0.0,776
12,16,42,367,35,363,3.50e-62,205
12,7,51,346,52,346,1.88e-45,162
12,3,29,356,31,345,3.95e-43,155
12,31,47,341,58,358,1.28e-33,130
12,22,45,361,51,373,7.17e-31,123
12,25,28,341,37,363,1.45e-28,117
12,28,28,340,26,344,2.27e-27,113
13,13,1,474,1,474,0.0,984
13,4,13,474,34,509,4.60e-116,352
13,8,13,463,53,526,4.72e-115,350
13,29,36,444,12,426,1.53e-105,323
13,17,78,444,34,412,1.08e-103,318
13,32,55,461,47,466,3.06e-99,308
13,26,86,444,124,490,2.69e-97,305
13,19,86,466,162,555,1.56e-95,301
14,14,1,162,1,162,1.06e-119,336
15,15,1,240,1,240,3.14e-174,480
16,16,1,366,1,366,0.0,764
16,12,35,361,42,365,2.96e-62,205
16,7,44,344,52,346,3.21e-49,172
16,3,17,365,30,363,2.02e-44,159
16,25,4,339,25,363,2.31e-31,124
16,28,2,338,3,344,5.25e-27,112
16,22,13,339,25,361,5.67e-27,112
16,31,39,340,57,359,9.46e-27,112
17,17,1,423,1,423,0.0,886
17,8,8,414,93,508,2.16e-163,472
17,4,2,415,60,484,1.23e-159,462
17,29,16,417,29,431,1.41e-136,400
17,26,23,413,99,491,2.19e-134,398
17,19,32,413,152,533,2.28e-132,394
17,32,1,414,41,452,9.98e-130,384
17,13,34,412,78,444,9.62e-104,318
18,18,1,208,1,208,6.39e-156,431
19,19,1,573,1,573,0.0,1200
19,32,113,567,34,484,2.39e-180,520
19,26,154,568,116,527,2.08e-168,491
19,8,138,548,109,522,4.10e-149,441
19,4,135,532,82,481,1.78e-147,437
19,29,153,545,46,439,6.14e-146,430
19,17,152,533,32,413,2.49e-141,417
19,13,138,555,67,466,3.13e-104,324
20,20,1,196,1,196,1.20e-141,394
21,21,1,102,1,102,3.62e-67,199
22,22,1,392,1,392,0.0,816
22,25,17,388,21,390,6.65e-129,378
22,31,1,388,1,385,2.67e-111,333
22,28,2,379,3,363,1.67e-62,207
22,12,51,373,45,361,1.18e-32,128
22,16,49,361,36,339,3.24e-27,113
22,7,57,368,52,348,1.37e-20,94.7
22,3,33,372,30,349,8.37e-20,92.4
23,23,1,328,1,328,0.0,671
23,24,5,281,17,287,2.91e-67,216
23,30,93,291,5,191,1.17e-23,99
23,27,22,226,80,265,9.14e-14,73.9
24,24,1,331,1,331,0.0,682
24,23,17,287,5,281,5.95e-64,207
24,30,101,289,1,184,2.25e-35,129
24,27,34,203,80,241,7.48e-20,92
25,25,1,390,1,390,0.0,806
25,22,27,390,27,388,6.07e-123,363
25,31,9,390,3,385,1.44e-103,313
25,28,5,384,4,366,4.74e-60,201
25,12,37,363,28,341,1.42e-28,117
25,16,45,363,31,339,4.80e-28,115
25,7,31,365,4,343,4.22e-18,87.4
25,3,37,374,30,349,8.76e-15,77.8
26,26,1,531,1,531,0.0,1114
26,32,98,526,55,484,4.07e-176,507
26,19,116,527,154,568,3.87e-168,490
26,29,91,506,26,441,5.43e-150,439
26,8,120,490,129,506,2.22e-148,438
26,4,19,490,15,481,2.44e-145,429
26,17,99,491,23,413,6.94e-143,420
26,13,124,490,86,444,2.39e-104,323
27,27,1,415,1,415,0.0,851
27,24,80,241,34,203,1.47e-19,91.3
27,23,80,265,22,226,1.17e-13,73.9
27,30,150,288,22,157,2.92e-06,50.4
28,28,1,372,1,372,0.0,783
28,31,32,365,38,378,1.20e-59,199
28,22,22,363,28,379,1.20e-58,197
28,25,19,366,21,384,1.42e-58,197
28,12,26,344,28,340,2.29e-27,113
28,3,21,353,29,346,1.16e-23,103
28,16,49,344,38,338,2.14e-22,99.4
28,7,55,335,52,331,2.27e-22,99.8
29,29,1,446,1,446,0.0,940
29,4,51,435,104,493,1.88e-152,444
29,8,6,428,68,508,1.99e-150,440
29,26,26,441,91,506,9.82e-142,418
29,32,5,429,25,453,1.69e-140,413
29,19,46,439,153,545,1.91e-137,408
29,17,29,431,16,417,1.48e-136,400
29,13,12,426,36,444,1.44e-105,323
30,30,1,210,1,210,1.02e-153,426
30,24,1,184,101,289,4.21e-30,115
30,23,5,191,93,291,6.73e-22,93.6
30,27,22,131,150,265,2.62e-05,46.6
31,31,1,387,1,387,0.0,803
31,22,1,385,1,388,1.18e-105,318
31,25,17,385,20,390,6.75e-104,314
31,28,9,378,5,365,1.82e-63,209
31,12,58,358,47,341,1.59e-33,130
31,16,57,359,39,340,1.58e-26,111
31,7,60,365,50,348,1.68e-15,79.7
31,3,60,360,50,340,1.30e-12,71.2
32,32,1,484,1,484,0.0,1017
32,19,77,484,158,567,1.05e-174,505
32,26,55,484,98,526,4.40e-170,491
32,29,25,453,5,429,2.16e-144,423
32,4,47,450,71,481,1.10e-141,419
32,8,53,472,105,528,1.65e-135,403
32,17,41,452,1,414,4.12e-132,391
32,13,47,466,55,461,3.84e-101,313
