1_BV1,108_av2,119_V2,1197_REn,120_V1,1307_hypothetical_protein,1312_V3_protein,1313_V2_protein,1329_1R2b,133_movement_protein,1331_AL5,1336_capsid,1337_putative_movement_pr..,1338_putative_replication..,1339_Rep,134_capsid_protein,135_replication_associat..,136_RepA,1375_V2,1445_hypothetical_protein,1683_AC5,169_orf6,171_orf7,19_AC4,194_V3,195_V2,197_C2,2_BC1,2062_BV1,2123_truncated_V2,2140_AC4,2214_hypothetical_protein,2241_C3,2354_V3,2355_V2,2361_hypothetical_protein,2367_AL2,242_AV3,267_movement_protein,285_hypothetical_protein,286_hypothetical_protein,2867_ORF_V2,2969_BV2,3030_V2,322_AC5,33_AV2,385_AC1,4_AC3,485_AC1,5_AC2,547_C5,575_AC5,676_AC4,7_AC4,729_movement_protein,776_V2,848_V2_protein,850_V3_protein,853_C3_protein,858_AV3_protein,87_V4,88_V2,89_V3,911_C4,923_C2,93_C3,939_C2
1101.73828125,-1012.6302490234375,-997.13330078125,-1029.6058349609375,-1078.730712890625,-1003.1309204101562,-985.21954345703125,-1054.0257568359375,-985.95477294921875,-983.7633056640625,-1003.35986328125,-1396.152587890625,-994.67803955078125,-1006.8265991210938,-1348.8427734375,-1177.3704833984375,-1449.2396240234375,-1251.154541015625,-958.02587890625,-1011.304931640625,-983.3988037109375,-1004.8283081054688,-994.3065185546875,-966.868408203125,-1009.3267211914062,-1004.06201171875,-1004.8271484375,-1259.567626953125,-899.96405029296875,-1014.1840209960938,-991.3463134765625,-1047.0252685546875,-1002.1328125,-972.8709716796875,-1019.5753173828125,-991.40838623046875,-974.508056640625,-1002.3760375976562,-971.22296142578125,-1014.3739013671875,-1044.735107421875,-988.45703125,-997.8309326171875,-1014.3309936523438,-999.4102783203125,-1018.2172241210938,-1547.4259033203125,-945.63665771484375,-1109.2962646484375,-976.42083740234375,-1011.68017578125,-976.4158935546875,-996.655029296875,-989.37408447265625,-1014.4989624023438,-996.06451416015625,-1068.1346435546875,-994.97930908203125,-1053.4781494140625,-983.048828125,-1016.0023193359375,-976.71112060546875,-1026.2435302734375,-993.49627685546875,-977.7034912109375,-1025.541015625,-1056.8492431640625
-1012.6302490234375,503.5297546386719,-529.00830078125,-609.01513671875,-997.13531494140625,-612.11932373046875,-514.17340087890625,-558.43011474609375,-414.9490966796875,-493.3581848144531,-446.9500427246094,-1279.598388671875,-517.77154541015625,-514.09478759765625,-1208.656982421875,-1039.0670166015625,-1338.857421875,-1046.4827880859375,-462.5799255371094,-525.096923828125,-524.4656982421875,-573.1180419921875,-511.8628234863281,-477.92388916015625,-496.7507629394531,-499.3156433105469,-614.92388916015625,-1073.81103515625,-1057.916748046875,-340.7533264160156,-500.0115661621094,-768.39178466796875,-583.402099609375,-486.4090576171875,-530.7117919921875,-464.3576354980469,-670.054443359375,-570.5787353515625,-535.31561279296875,-531.71051025390625,-551.0224609375,-500.7313232421875,-532.16546630859375,-588.96575927734375,-498.18499755859375,-68.51751708984375,-1406.287841796875,-546.8826904296875,-763.1746826171875,-608.96551513671875,-696.1875,-498.42413330078125,-534.35577392578125,-529.03857421875,-512.21160888671875,-469.943359375,-670.21759033203125,-558.16546630859375,-672.016357421875,-538.49224853515625,-468.14349365234375,-453.4245300292969,-566.5823974609375,-464.1416931152344,-615.79705810546875,-555.148193359375,-674.96514892578125
-997.13330078125,-529.00830078125,414.5079345703125,-554.01409912109375,-988.39306640625,-612.966552734375,-496.7012023925781,-598.601806640625,-409.2492370605469,-484.6790466308594,-393.5307922363281,-1344.0887451171875,-464.8150329589844,-427.5520324707031,-1184.631591796875,-1007.3455810546875,-1355.917724609375,-1049.068359375,-458.5542297363281,-429.0740051269531,-476.6410217285156,-518.2266845703125,-448.5763854980469,-447.61669921875,-476.3337707519531,-467.4493408203125,-603.31195068359375,-1062.764892578125,-1072.15380859375,-363.2696533203125,-463.0231628417969,-814.94342041015625,-584.428466796875,-441.7485656738281,-538.424072265625,-425.3785400390625,-635.88482666015625,-546.79583740234375,-477.5777893066406,-486.6861572265625,-551.581298828125,-456.2957763671875,-562.59136962890625,-509.8247985839844,-471.3997497558594,-526.48870849609375,-1435.9169921875,-539.35797119140625,-743.2772216796875,-551.8165283203125,-648.16357421875,-447.7530212402344,-461.225341796875,-531.4678955078125,-459.7659606933594,-420.9872131347656,-673.8016357421875,-537.8582763671875,-677.85784912109375,-510.79473876953125,-462.31072998046875,-370.1380920410156,-562.6895751953125,-420.17974853515625,-616.46539306640625,-544.6676025390625,-623.209228515625
-1029.6058349609375,-609.01513671875,-554.01409912109375,568.08453369140625,-991.93951416015625,-698.59722900390625,-573.0765380859375,-697.80023193359375,-496.71002197265625,-538.07525634765625,-517.35992431640625,-1322.097900390625,-516.1434326171875,-601.248046875,-1237.352783203125,-1038.587646484375,-961.0478515625,-1074.398193359375,-503.1226501464844,-521.27490234375,-561.6190185546875,-639.705810546875,-558.3177490234375,-567.3812255859375,-555.12255859375,-567.7105712890625,-444.04705810546875,-1093.4649658203125,-1036.110595703125,-529.2696533203125,-541.85919189453125,-818.911376953125,-616.62396240234375,-569.75189208984375,-637.4439697265625,-529.75042724609375,-698.6456298828125,-622.83636474609375,-601.81646728515625,-598.1654052734375,-646.92291259765625,-580.621337890625,-591.4666748046875,-613.79248046875,-570.07867431640625,-615.6641845703125,-1028.0050048828125,-565.2313232421875,-228.09518432617188,-659.7969970703125,-740.74810791015625,-545.03485107421875,-564.7542724609375,-613.05694580078125,-565.55450439453125,-521.2943115234375,-723.55999755859375,-602.29351806640625,-728.72503662109375,-620.63958740234375,-515.97259521484375,-534.50994873046875,-605.99365234375,-524.55157470703125,-676.03961181640625,-603.0753173828125,-741.66290283203125
-1078.730712890625,-997.13531494140625,-988.39306640625,-991.93951416015625,1078.566162109375,-1022.2888793945312,-998.39617919921875,-1036.61376953125,-984.77789306640625,-951.3016357421875,-973.93292236328125,-1393.4571533203125,-958.10894775390625,-998.90625,-1316.2916259765625,-1105.167236328125,-1506.74609375,-1283.9093017578125,-991.99920654296875,-1019.475830078125,-968.45745849609375,-992.72216796875,-975.72979736328125,-991.78302001953125,-984.24176025390625,-985.1785888671875,-1024.348876953125,-1232.8311767578125,-1155.4658203125,-996.38531494140625,-990.05963134765625,-1058.1982421875,-1001.6556396484375,-992.680908203125,-989.78460693359375,-974.1524658203125,-1005.932373046875,-1038.00048828125,-1003.0488891601562,-1018.7794189453125,-1047.368896484375,-1000.549072265625,-976.919677734375,-991.1160888671875,-999.9827880859375,-1053.1318359375,-1526.5897216796875,-969.74322509765625,-1071.306640625,-972.553955078125,-1079.85009765625,-979.32696533203125,-1026.453369140625,-954.831787109375,-969.13677978515625,-963.259765625,-1058.87451171875,-1007.7232666015625,-1011.3727416992188,-1012.1946411132812,-1023.0879516601562,-993.79620361328125,-1000.0722045898438,-978.95355224609375,-1030.481689453125,-972.70257568359375,-1027.04638671875
-1003.1309204101562,-612.11932373046875,-612.966552734375,-698.59722900390625,-1022.2888793945312,576.69183349609375,-602.13885498046875,-698.8028564453125,-526.3382568359375,-559.18707275390625,-536.44525146484375,-1338.31396484375,-581.1871337890625,-537.62017822265625,-1239.8092041015625,-979.400146484375,-1395.8360595703125,-1099.1534423828125,-571.665283203125,-570.66009521484375,-559.20916748046875,-593.1217041015625,-556.18499755859375,-527.95037841796875,-575.85919189453125,-594.49200439453125,-663.166748046875,-1118.8953857421875,-1057.3321533203125,-528.35504150390625,-539.31640625,-832.58087158203125,-597.4244384765625,-569.42620849609375,-621.94488525390625,-538.29302978515625,-706.92291259765625,-649.61785888671875,-604.100830078125,-605.46673583984375,-668.44464111328125,-601.577392578125,-523.36431884765625,-654.731201171875,-555.2322998046875,-627.70556640625,-1412.18115234375,-598.51434326171875,-806.318603515625,-668.81304931640625,-710.728759765625,-559.0162353515625,-587.90411376953125,-630.22540283203125,-534.2301025390625,-570.24700927734375,-748.44842529296875,-609.208251953125,-750.22406005859375,-552.40447998046875,-588.31402587890625,-520.8818359375,-668.31195068359375,-510.9233703613281,-634.40350341796875,-610.68853759765625,-697.3824462890625
-985.21954345703125,-514.17340087890625,-496.7012023925781,-573.0765380859375,-998.39617919921875,-602.13885498046875,444.11566162109375,-629.7366943359375,-416.7145690917969,-441.0608215332031,-429.3599548339844,-1307.048095703125,-475.7552185058594,-437.67083740234375,-1189.762451171875,-1030.84765625,-1357.248779296875,-1063.9332275390625,-473.7498474121094,-404.903076171875,-462.9898681640625,-535.83978271484375,-446.6954345703125,-457.5334167480469,-474.59942626953125,-482.9667663574219,-615.07659912109375,-1072.767578125,-1021.6149291992188,-411.81231689453125,-467.1535949707031,-755.18927001953125,-551.19232177734375,-454.2347106933594,-517.907958984375,-442.2062683105469,-619.25433349609375,-561.3836669921875,-484.9573059082031,-497.4864807128906,-588.88250732421875,-453.0715637207031,-492.8605651855469,-541.19073486328125,-460.2080383300781,-507.0349426269531,-1368.877197265625,-558.5072021484375,-733.93316650390625,-588.864013671875,-703.90289306640625,-492.7738342285156,-472.3142395019531,-544.22113037109375,-465.0084228515625,-441.9433288574219,-704.16888427734375,-520.16558837890625,-654.33935546875,-519.93798828125,-439.5140075683594,-402.87823486328125,-573.64593505859375,-416.2175598144531,-599.858154296875,-513.38385009765625,-604.4312744140625
-1054.0257568359375,-558.43011474609375,-598.601806640625,-697.80023193359375,-1036.61376953125,-698.8028564453125,-629.7366943359375,641.24658203125,-577.1466064453125,-636.75030517578125,-585.35986328125,-1340.02783203125,-589.69189453125,-608.97088623046875,-1236.26318359375,-1036.917724609375,-1415.245849609375,-1075.9373779296875,-599.1075439453125,-592.7967529296875,-625.8199462890625,-663.121337890625,-619.163818359375,-602.12481689453125,-600.84173583984375,-613.38348388671875,-714.85791015625,-1142.480224609375,-1088.913330078125,-560.11578369140625,-650.40185546875,-860.156494140625,-671.07867431640625,-632.6019287109375,-574.214111328125,-598.8585205078125,-744.18621826171875,-645.9520263671875,-617.16680908203125,-588.1689453125,-547.04803466796875,-601.30035400390625,-637.31884765625,-670.18731689453125,-619.40643310546875,-524.95782470703125,-1410.9058837890625,-641.92608642578125,-787.21392822265625,-696.07672119140625,-758.53466796875,-623.034912109375,-637.8812255859375,-692.29803466796875,-589.75555419921875,-596.44781494140625,-730.56158447265625,-656.20562744140625,-737.77655029296875,-656.44573974609375,-608.5797119140625,-601.42431640625,-573.41632080078125,-586.3389892578125,-688.0579833984375,-680.1053466796875,-750.678955078125
-985.95477294921875,-414.9490966796875,-409.2492370605469,-496.71002197265625,-984.77789306640625,-526.3382568359375,-416.7145690917969,-577.1466064453125,266.46929931640625,-368.7977600097656,-287.4626159667969,-1311.825439453125,-377.97833251953125,-386.5518798828125,-1180.6064453125,-962.2354736328125,-1354.8719482421875,-1043.692626953125,-369.5028991699219,-376.17529296875,-433.3554382324219,-455.6627502441406,-355.04888916015625,-363.6326599121094,-394.91900634765625,-422.9455871582031,-559.11993408203125,-1048.064453125,-1032.979248046875,-248.41973876953125,-381.6961364746094,-732.77838134765625,-553.97833251953125,-408.6419677734375,-472.3382263183594,-273.5078125,-596.57708740234375,-513.96636962890625,-445.04888916015625,-455.7273254394531,-574.5770263671875,-416.44305419921875,-467.2908630371094,-466.4064025878906,-416.91900634765625,-417.5564880371094,-1395.1494140625,-487.29083251953125,-706.94915771484375,-525.32098388671875,-646.6417236328125,-392.7065124511719,-403.8981628417969,-459.8843994140625,-417.29083251953125,-336.0274353027344,-650.40606689453125,-468.9490966796875,-649.49169921875,-427.2492980957031,-393.0898742675781,-284.0929870605469,-505.79534912109375,-293.7003173828125,-517.689208984375,-512.33465576171875,-591.32098388671875
-983.7633056640625,-493.3581848144531,-484.6790466308594,-538.07525634765625,-951.3016357421875,-559.18707275390625,-441.0608215332031,-636.75030517578125,-368.7977600097656,349.9516296386719,-324.9881286621094,-1276.267578125,-401.2744140625,-415.85333251953125,-1205.217041015625,-1007.1110229492188,-1369.592041015625,-1022.0668334960938,-406.203857421875,-366.7935791015625,-408.0982971191406,-508.3788757324219,-417.6564636230469,-401.400634765625,-382.8460693359375,-431.59722900390625,-581.8360595703125,-1077.2813720703125,-1031.220703125,-348.1745910644531,-397.6236877441406,-754.95135498046875,-512.13128662109375,-439.3844299316406,-493.9920654296875,-360.8863220214844,-584.8782958984375,-573.42633056640625,-449.90643310546875,-463.31658935546875,-584.98974609375,-415.1858215332031,-442.842041015625,-506.1664733886719,-416.9677734375,-502.98626708984375,-1369.5927734375,-479.7299499511719,-710.08673095703125,-589.53240966796875,-651.36102294921875,-454.6604309082031,-449.7724609375,-500.27569580078125,-352.8420104980469,-324.85797119140625,-652.844970703125,-505.72998046875,-639.3614501953125,-429.326904296875,-390.2692565917969,-349.9673156738281,-582.443359375,-353.1045227050781,-545.79803466796875,-507.187255859375,-634.579833984375
