X	cluster_name	size	taxa	Pfam_IDs	aa_file	na_file	taxids	Percentage_prevalence	Prevalencia_final_v1	Prevalencia_final_v2
1	1_BV1	158	158	PF00844_	1_BV1.faa	1_BV1.fna	665102_932071_1046572_10815_1317107_1611435_31602_1227354_10838_10839_222445_220340_1513489_536081_1246650_345184_51336_1311277_1125764_47838_666144_390438_559878_1747500_1532882_1915202_1915203_390436_403897_293284_1396815_77647_79236_134681_1227356_1227357_1812308_361731_1960710_94700_333968_223262_393599_223264_223275_62079_598494_509532_263793_31600_1198450_1490227_1982675_75574_390437_207240_1779714_1904881_51676_2021666_223282_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_77813_223287_33726_619599_327280_1737555_648801_1772258_1742596_223301_223303_1387160_292477_1774200_223307_223308_10827_486809_889202_1513519_457286_714308_889203_935473_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_929766_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_63723_761702_1221206_10829_223324_1051966_223328_336987_565052_983437_1701549_172391_536084_1195378_10831_223342_296190_219299_223347_526476_71186_536086_1124577_260908_223358_10835_1266458_134599_1162280_158463_266799_85752_649996_260909_86502_365523_55216_1825950_667119_35341_1046573_51673	30.859375	44.027656724812275	44.027656724812275
2	2_BC1	161	161	PF00845_	2_BC1.faa	2_BC1.fna	665102_932071_1046572_10815_1317107_1611435_31602_1227354_10838_10839_222445_220340_1513489_536081_1246650_345184_51336_2122733_1311277_1125764_47838_1202142_666144_390438_559878_1747500_1532882_1915202_1915203_390436_403897_293284_1396815_77647_79236_134681_1227356_1227357_1812308_361731_1960710_94700_333968_223262_393599_223264_223275_62079_598494_509532_263793_31600_1198450_1490227_1982675_75574_390437_207240_1779714_1904881_51676_2021666_223282_223284_169865_1129033_1906668_376612_1742594_1742595_223286_180399_714309_77813_223287_33726_619599_327280_2162638_1737555_648801_1772258_1742596_223301_223303_1387160_292477_1774200_223307_223308_10827_486809_889202_1513519_457286_714308_889203_935473_529680_1904882_1949196_1904883_1264880_929769_223313_871521_223316_51034_759390_228897_1046571_932069_932070_367850_408719_1093958_223321_932073_63723_761702_1221206_269277_10829_223324_1051966_223328_336987_565052_983437_1701549_172391_536084_1195378_10831_223342_296190_219299_223347_526476_71186_536086_1124577_260908_223358_10835_1266458_134599_1162280_158463_266799_85752_649996_260909_86502_365523_55216_1825950_667119_35341_1046573_51673	31.4453125	43.10103554385482	43.10103554385482
3	134_capsid_protein	508	508	PF00844_	134_capsid_protein.faa	134_capsid_protein.fna	665102_1312723_932071_1046572_10815_1329380_188333_912033_298650_222078_437061_437063_222079_222441_1306546_452758_1317107_337826_1738045_1611435_1476487_31602_1227354_10838_10839_222445_220340_2004460_2169732_57119_714310_391228_10840_591160_587620_658650_908028_120168_1513489_536081_1246650_361697_936005_345184_51336_2122733_1311277_1125764_1076345_1129032_222450_1032478_1302848_887825_463360_887827_1568974_1162557_1678003_577124_1000665_1000664_172278_858516_47838_10820_1202142_666144_390438_326811_559878_649509_1747500_1532882_1915202_1915203_390436_403897_1297645_293284_1396815_77647_222456_307110_620894_222460_222459_222464_674996_53010_79236_223260_417288_207697_671095_134681_1227356_1038082_1227357_1812308_361731_1960710_94700_1196237_889510_10837_333968_1249648_742163_223262_393599_223264_223275_62079_875324_2020881_498805_1030595_390443_186637_269095_519350_223276_335404_436246_1853865_412688_270117_2169733_429564_1578825_598494_2093275_2050584_509531_509532_1906317_1381007_1428190_1383052_199587_163655_1504732_944994_1233675_180587_240865_263793_46448_31600_653358_1198450_1490227_1982675_1547577_2169734_543876_1530093_569949_1213406_75574_1485012_2093273_508750_390437_2093276_300411_1740165_390444_325111_207240_1779714_1904880_1904881_51676_2021666_223282_223284_169865_1129033_1129034_1129035_1182518_268316_2025388_2202146_1906668_377610_1333313_329290_643133_376612_377462_642493_1633139_911574_676044_290030_222475_1742594_1742595_223286_180399_714309_77813_508748_360579_390440_1431395_268776_1631303_223287_33726_497863_908127_908125_912034_908124_1241370_619599_401040_327280_227137_1602199_913600_229634_271479_53260_1196236_1072672_2162638_1737555_648801_1772258_1742596_1931111_223301_223303_223305_884612_519015_83839_1387160_1987360_292477_1774200_881944_260378_1830242_2093274_223307_223308_10827_1225069_1367126_1198134_2022321_420684_435646_1874886_486809_889202_1513519_457286_714308_889203_935473_529680_2012856_2012857_875323_1130981_310103_1884991_666145_1904882_1949196_1949197_1904883_1264880_536082_929767_929769_223313_871521_223316_1002681_51034_759390_223318_929766_337823_228897_1046571_932069_932070_367850_1266995_191460_1266993_536083_1266994_290090_408719_191463_1093958_1266977_420255_390441_223321_379728_371401_932073_63723_408136_761702_1221206_85753_761701_390439_945225_873160_1432565_1302849_1302850_269275_269277_222474_10829_223324_1051966_223328_202568_1919062_268785_78395_1868659_1492296_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_603333_1571533_1899219_1914900_604276_2169737_180526_439423_336987_223332_223334_905054_409287_211866_223337_67762_196691_530536_565052_10830_2060142_2027645_1340746_858512_240492_983437_1701549_172391_536084_128941_1195378_1632184_10831_223342_296190_1089387_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_71186_223352_270146_634441_196093_439427_341035_208177_2021667_28350_681518_536085_536086_1124577_223357_260908_223358_172394_10835_1266458_49267_134599_1162280_92963_158463_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_649996_260909_86502_365523_55216_1825950_859650_1766828_1881630_667119_1925153_1001341_367061_1312724_1170656_35341_1046573_1046574_1174526_10834_2169739_2169740_2169741_2169742_2169743_2169744_2025352_51673_1904884	99.21875	99.21875	99.21875
4	4_AC3	455	455	PF01407_	4_AC3.faa	4_AC3.fna	665102_1312723_932071_1046572_10815_1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_1317107_337826_1738045_1633752_1611435_31602_1227354_10838_10839_222445_220340_2004460_2169732_714310_10840_591160_587620_658650_908028_120168_1513489_536081_1246650_361697_345184_51336_1311277_1125764_1076345_1129032_222450_1032478_1678003_577124_1000665_1000664_172278_858516_47838_666144_390438_326811_559878_649509_1747500_1532882_1915202_1915203_390436_403897_1297645_293284_1396815_77647_222456_307110_620894_222460_222459_222464_674996_53010_79236_223260_417288_207697_671095_134681_1227356_1038082_1227357_1812308_361731_1960710_94700_333968_742163_223262_393599_223264_223275_62079_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_2169733_429564_1578825_598494_2050584_509531_509532_1906317_1428190_1383052_199587_163655_1504732_944994_1233675_180587_240865_263793_31600_653358_1198450_1490227_1982675_1547577_2169734_543876_1530093_569949_1213406_75574_1485012_2093273_508750_390437_300411_1740165_390444_325111_207240_1779714_1904880_1904881_51676_2021666_223282_223284_169865_1129033_1129034_1129035_2202146_1906668_377610_1333313_329290_643133_377462_642493_1633139_911574_676044_290030_222475_1742594_1742595_223286_180399_714309_77813_508748_360579_390440_1431395_223287_33726_908127_908125_912034_908124_1241370_163654_619599_401040_327280_227137_1602199_913600_229634_271479_53260_1737555_648801_1772258_1742596_1931111_223301_223303_223305_884612_519015_83839_1387160_1987360_292477_1774200_881944_260378_2093274_223307_223308_10827_1225069_1367126_1198134_420684_435646_1874886_486809_889202_1513519_457286_714308_889203_529680_875323_1130981_310103_1884991_666145_1904882_1949196_1949197_1904883_1264880_536082_929767_929769_223313_871521_223316_1002681_51034_759390_1949198_223318_929766_337823_228897_1046571_932069_932070_367850_1266995_191460_1266993_536083_1266994_290090_408719_191463_1093958_1266977_420255_390441_223321_379728_371401_932073_63723_408136_761702_1221206_85753_761701_390439_1432565_269275_269277_222474_10829_223324_1051966_223328_202568_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_1899219_1914900_604276_2169737_180526_439423_336987_223332_223334_905054_409287_211866_223337_67762_196691_530536_565052_1340746_858512_240492_983437_1701549_172391_536084_128941_1195378_1632184_10831_223342_296190_1089387_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_71186_223352_270146_634441_196093_439427_341035_208177_2021667_28350_681518_536085_536086_1124577_223357_260908_223358_172394_10835_1266458_49267_134599_1162280_92963_158463_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_649996_260909_86502_365523_55216_1825950_859650_1766828_1881630_667119_1925153_1001341_367061_1312724_1170656_35341_1046573_1046574_2169739_2169740_2169741_2169742_2169743_2169744_51673_1904884	88.8671875	88.8671875	88.8671875
5	5_AC2	445	445	PF01440_	5_AC2.faa	5_AC2.fna	665102_1312723_932071_1046572_10815_1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_1317107_337826_1738045_1633752_1611435_31602_1227354_10838_10839_222445_220340_2004460_2169732_714310_10840_591160_587620_658650_908028_120168_1513489_536081_1246650_361697_345184_51336_1311277_1125764_1076345_1129032_222450_1032478_1678003_577124_1000665_1000664_172278_858516_47838_666144_390438_326811_559878_649509_1747500_1532882_1915202_1915203_390436_403897_1297645_293284_1396815_77647_222456_307110_222460_222459_222464_674996_53010_79236_223260_417288_207697_671095_134681_1227356_1038082_1227357_1812308_361731_1960710_94700_333968_742163_223262_393599_223264_223275_62079_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_2169733_429564_1578825_598494_2050584_509531_509532_1906317_1428190_1383052_199587_163655_1504732_944994_1233675_180587_240865_263793_31600_1198450_1490227_1982675_1547577_2169734_543876_1530093_569949_1213406_75574_1485012_2093273_508750_390437_300411_1740165_390444_325111_207240_1779714_1904880_1904881_51676_2021666_223282_223284_169865_1129033_1129034_1129035_2202146_1906668_377610_1333313_329290_643133_376612_377462_642493_1633139_911574_676044_290030_222475_1742594_1742595_223286_180399_714309_77813_508748_360579_390440_1431395_223287_908127_908125_912034_908124_1241370_163654_619599_401040_327280_227137_1602199_913600_229634_271479_53260_1737555_648801_1772258_1742596_1931111_223301_223303_223305_884612_519015_83839_1387160_1987360_292477_1774200_881944_260378_2093274_223307_223308_10827_1225069_1367126_1198134_420684_435646_1874886_486809_889202_1513519_457286_714308_889203_935473_529680_875323_1130981_310103_1884991_666145_1904882_1949196_1949197_1904883_1264880_536082_929767_223313_871521_223316_1002681_51034_759390_1949198_223318_929766_337823_228897_1046571_932069_932070_367850_1266995_191460_1266993_536083_1266994_290090_408719_191463_1093958_1266977_420255_390441_223321_379728_371401_932073_63723_408136_761702_1221206_85753_761701_390439_1432565_269275_269277_222474_10829_223324_1051966_223328_202568_2169736_688540_652718_1198219_1489312_1489311_574890_994388_1392388_2026196_2026195_940846_100755_1513529_1899219_1914900_604276_2169737_180526_439423_336987_223332_223334_905054_409287_211866_223337_67762_196691_530536_565052_240492_983437_1701549_172391_536084_128941_1195378_1632184_10831_223342_296190_1089387_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_71186_223352_270146_634441_196093_439427_341035_208177_2021667_28350_681518_536085_536086_223357_260908_223358_172394_10835_1266458_49267_134599_1162280_92963_158463_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_649996_260909_86502_365523_55216_1825950_859650_1766828_1881630_667119_1925153_1001341_367061_1312724_1170656_35341_1046573_1046574_2169739_2169740_2169741_2169742_2169743_2169744_51673_1904884	86.9140625	100	100
6	135_replication_associat..	501	501	PF00799_PF08283_	135_replication_associat...faa	135_replication_associat...fna	665102_1312723_932071_1046572_10815_1329380_188333_912033_298650_222078_437061_437063_222079_222441_1306546_452758_1317107_337826_1738045_1633752_1611435_1476487_31602_1227354_10838_10839_220340_2004460_2169732_57119_714310_391228_10840_591160_587620_658650_908028_120168_1513489_536081_1246650_361697_936005_345184_51336_2122733_1311277_1125764_1076345_1129032_222450_1032478_1302848_887825_463360_887827_1568974_1162557_1678003_577124_1000665_1000664_172278_47838_10820_1202142_666144_390438_326811_559878_649509_1747500_1532882_1915202_1915203_390436_403897_293284_1396815_77647_222456_307110_620894_222460_222459_222464_674996_53010_79236_223260_417288_207697_671095_134681_1227356_1038082_1227357_1812308_361731_1960710_94700_1196237_889510_10837_333968_1249648_742163_223262_393599_223264_223275_62079_875324_2020881_498805_1030595_390443_186637_269095_519350_223276_335404_436246_1853865_412688_270117_2169733_429564_1578825_598494_2093275_2050584_509531_509532_1906317_1428190_1383052_199587_163655_1504732_944994_1233675_180587_240865_263793_46448_31600_653358_1198450_1490227_1982675_1547577_2169734_543876_1530093_569949_1213406_75574_1485012_2093273_508750_390437_2093276_300411_1740165_390444_325111_207240_1779714_1904880_1904881_51676_2021666_223282_223284_169865_1129033_1129034_1129035_1182518_268316_2025388_2202146_1906668_377610_1333313_329290_643133_376612_377462_642493_1633139_911574_676044_290030_222475_1742594_1742595_223286_180399_714309_77813_508748_360579_390440_1431395_268776_1631303_223287_33726_497863_908127_908125_912034_908124_1241370_163654_619599_401040_327280_227137_1602199_913600_229634_271479_53260_1196236_1072672_2162638_1737555_648801_1772258_1742596_1931111_223301_223303_223305_884612_519015_83839_1387160_1987360_292477_1774200_881944_260378_1830242_2093274_223307_223308_10827_1225069_1367126_1198134_420684_435646_1874886_486809_889202_1513519_457286_714308_889203_935473_529680_2012856_2012857_875323_1130981_310103_1884991_666145_1904882_1949196_1949197_1904883_1264880_536082_929767_223313_871521_223316_1002681_51034_759390_1949198_223318_929766_337823_228897_1046571_932069_932070_367850_1266995_191460_1266993_536083_1266994_290090_408719_191463_1093958_1266977_390441_223321_379728_371401_932073_63723_408136_761702_1221206_85753_761701_390439_945225_873160_1432565_1302849_1302850_269275_269277_222474_10829_223324_1051966_223328_202568_1919062_268785_78395_1868659_1492296_2169736_688540_693892_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1513528_603333_1571533_1899219_1914900_604276_2169737_180526_439423_336987_223332_223334_905054_409287_211866_223337_67762_196691_530536_565052_10830_2060142_2027645_858512_240492_983437_1701549_172391_536084_128941_1195378_1632184_10831_223342_296190_1089387_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_71186_223352_270146_634441_196093_439427_341035_208177_2021667_28350_681518_536085_536086_1124577_223357_260908_223358_172394_10835_1266458_49267_134599_1162280_92963_158463_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_649996_260909_86502_365523_55216_1825950_859650_1766828_1881630_667119_1925153_1001341_367061_1312724_1170656_35341_1046573_1046574_1174526_10834_2169739_2169740_2169741_2169742_2169743_2169744_51673_1904884	97.8515625	97.8515625	97.8515625
7	7_AC4	22	22		7_AC4.faa	7_AC4.fna	665102_1312723_1046572_31602_2004460_51336_1311277_1032478_1396815_2169733_46448_1198450_1982675_180399_1513519_1002681_536083_873160_536084_1162280_1312724_1904884	4.296875	4.296875	4.296875
8	19_AC4	379	379	PF01492_	19_AC4.faa	19_AC4.fna	932071_1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_1317107_337826_1633752_1611435_1227354_2169732_591160_587620_658650_908028_120168_1513489_536081_1246650_345184_1125764_1076345_1129032_222450_1678003_577124_1000665_1000664_172278_47838_666144_390438_326811_559878_649509_1747500_1532882_1915202_1915203_390436_1297645_293284_222456_307110_620894_222459_222464_674996_53010_79236_223260_417288_207697_671095_1227356_1038082_1227357_1812308_1960710_333968_742163_393599_223275_62079_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_509532_1906317_1428190_1383052_199587_163655_1504732_944994_1233675_180587_263793_31600_653358_1490227_1547577_2169734_1530093_569949_1213406_75574_1485012_508750_390437_300411_1740165_390444_325111_1779714_1904880_1904881_2021666_223282_223284_169865_1129033_1129034_1129035_2202146_1906668_377610_1333313_329290_643133_376612_377462_642493_1633139_911574_676044_290030_222475_1742594_1742595_508748_360579_390440_1431395_223287_33726_908127_908125_912034_908124_1241370_163654_401040_327280_227137_1602199_913600_229634_271479_53260_1737555_648801_1772258_1742596_1931111_223305_884612_519015_83839_1387160_1987360_1774200_881944_260378_223307_223308_1225069_1367126_1198134_420684_435646_1874886_486809_889202_889203_935473_529680_1130981_310103_1884991_666145_1904882_1949196_1949197_1904883_1264880_536082_929767_929769_223313_871521_223316_51034_759390_1949198_223318_929766_337823_228897_1046571_932069_932070_367850_1266995_191460_1266993_1266994_290090_191463_1093958_1266977_420255_390441_223321_379728_371401_932073_63723_408136_761702_85753_761701_390439_222474_223328_202568_2169736_688540_652718_1198219_225752_1489312_1489311_574890_994388_1392388_2026196_2026195_999288_652717_940846_100755_1513529_1899219_1914900_604276_2169737_180526_439423_336987_223332_223334_905054_409287_211866_223337_67762_196691_530536_565052_240492_1701549_172391_1195378_1632184_10831_223342_296190_1089387_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_71186_223352_270146_634441_196093_439427_341035_208177_2021667_28350_681518_536085_536086_223357_260908_172394_1266458_49267_158463_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_649996_260909_86502_55216_1825950_859650_1766828_1881630_667119_1925153_1001341_367061_1170656_1046573_1046574_2169739_2169740_2169741_2169742_2169743_2169744_51673	74.0234375	74.0234375	74.0234375
9	33_AV2	232	232	PF01524_PF03716_	33_AV2.faa	33_AV2.fna	1329380_188333_912033_298650_222078_437061_437063_222079_222441_452758_1317107_1738045_591160_587620_658650_908028_120168_1513489_1125764_1076345_1678003_577124_1000665_1000664_172278_390438_326811_559878_649509_1532882_1297645_222456_307110_620894_222460_222459_222464_674996_53010_79236_417288_207697_671095_1038082_1812308_742163_223262_393599_223275_62079_875324_2020881_498805_390443_186637_269095_519350_223276_335404_436246_412688_270117_1578825_2050584_509531_509532_1428190_1383052_199587_163655_1504732_944994_1233675_180587_240865_31600_1547577_2169734_1530093_569949_1213406_1485012_508750_300411_1740165_207240_1779714_2202146_377610_1333313_329290_377462_642493_1633139_911574_290030_222475_508748_360579_390440_1431395_908127_908125_912034_908124_1241370_401040_227137_913600_229634_271479_53260_1931111_223305_884612_519015_83839_292477_1774200_881944_260378_1225069_1367126_1198134_420684_435646_1874886_486809_875323_1130981_310103_337823_290090_390441_371401_63723_85753_390439_269275_269277_222474_223328_202568_1899219_1914900_604276_2169737_180526_439423_223332_223334_905054_409287_211866_223337_67762_128941_1632184_1608257_439422_392761_220608_223344_1498504_1955054_693894_507474_1329381_229636_997078_507475_439426_1384631_501328_400835_377609_219299_664980_971271_270140_263001_309390_220932_551531_548915_223345_1303385_996311_223346_260379_302100_507476_439425_439421_2050583_2049944_223347_614034_713949_526476_575917_96054_407837_420254_938276_223352_270146_196093_439427_341035_208177_28350_232380_185793_297249_395349_266799_219744_260377_123735_1391746_1825931_85752_390442_1335768_10832_1001341_367061_35341_1046573_1046574_2169744	45.3125	45.3125	45.3125
10	87_V4	3	3		87_V4.faa	87_V4.fna	1306546_1853865_1830242	0.5859375	0.5859375	29.551725124411846
