X	cluster_name	size	taxa	Pfam_IDs	aa_file	na_file	taxids	Percentage_prevalence	Prevalencia_final_v1	Prevalencia_final_v2
1	1_capsid_protein	49	49		1_capsid_protein.faa	1_capsid_protein.fna	2219142_1843749_1843750_1843751_1843752_1843753_1843754_2169876_2169877_2170105_2170106_2170107_2170108_2077298_2169932_2169933_1932006_2170109_2170110_2293284_2170111_2170112_2169934_2169935_2169936_2170114_1820158_1820159_1595998_2170115_1592122_1592125_1114942_1488557_2170117_2170119_2170120_2170121_2170122_2170123_2170124_2170125_1328031_1843773_2170126_1843756_1843757_1843758_2170130	100	100	100
2	2_replication_associat..	48	48		2_replication_associat...faa	2_replication_associat...fna	2219142_1843749_1843750_1843751_1843752_1843753_1843754_2169876_2169877_2170105_2170106_2170107_2170108_2077298_2169932_2169933_1932006_2170109_2170110_2293284_2170111_2170112_2169934_2169935_2169936_2170114_1820158_1820159_1595998_2170115_1592122_1592125_1114942_1488557_2170117_2170119_2170120_2170121_2170122_2170123_2170124_1328031_1843773_2170126_1843756_1843757_1843758_2170130	97.95918367346938	98.77551020408163	98.77551020408163
3	16_ORF2	4	4		16_ORF2.faa	16_ORF2.fna	2169876_2169877_2170105_1114942	8.16326530612245	8.16326530612245	8.16326530612245
4	32_ORF3_protein	1	1		32_ORF3_protein.faa	32_ORF3_protein.fna	2077298	2.0408163265306123	2.0408163265306123	2.0408163265306123
5	33_replication-associat..	1	1	PF00910_	33_replication-associat...faa	33_replication-associat...fna	2077298	2.0408163265306123	2.0408163265306123	2.3406101659216287
6	34_capsid_protein	1	1		34_capsid_protein.faa	34_capsid_protein.fna	2077298	2.0408163265306123	2.0408163265306123	2.0408163265306123
7	43_ORF5	1	1		43_ORF5.faa	43_ORF5.fna	2170110	2.0408163265306123	2.0408163265306123	2.419403290951764
8	44_ORF3	1	1		44_ORF3.faa	44_ORF3.fna	2170110	2.0408163265306123	2.0408163265306123	2.450385179243357
9	45_ORF6	1	1		45_ORF6.faa	45_ORF6.fna	2170110	2.0408163265306123	2.0408163265306123	2.4761291221119346
10	47_ORF4	1	1		47_ORF4.faa	47_ORF4.fna	2170110	2.0408163265306123	2.0408163265306123	2.0408163265306123
11	75_hypothetical_protein	1	1		75_hypothetical_protein.faa	75_hypothetical_protein.fna	1114942	2.0408163265306123	2.0408163265306123	2.0408163265306123
12	78_hypothetical_protein	1	1		78_hypothetical_protein.faa	78_hypothetical_protein.fna	1114942	2.0408163265306123	2.0408163265306123	2.0408163265306123
13	97_Rep_protein	1	1	PF02407_	97_Rep_protein.faa	97_Rep_protein.fna	2170125	2.0408163265306123	2.0408163265306123	2.0408163265306123
