source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Parvoviridae/cluster_1_homologues_19062021_0804_intersection	Acheta-domestica-densovirus_taxid_185639.gbk	Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk	Adeno-associated-virus--1_taxid_85106.gbk	Adeno-associated-virus--2_taxid_10804.gbk	Adeno-associated-virus--3_taxid_46350.gbk	Adeno-associated-virus--4_taxid_57579.gbk	Adeno-associated-virus_taxid_272636.gbk	Aleutian-mink-disease-virus_taxid_28314.gbk	Amdoparvovirus-sp_taxid_1908805.gbk	Artibeus-jamaicensis-parvovirus-1_taxid_1131485.gbk	Avian-adeno-associated-virus-ATCC-VR-865_taxid_219704.gbk	Avian-adeno-associated-virus-strain-DA-1_taxid_281492.gbk	Bat-bocavirus-WM40_taxid_2259810.gbk	Bat-bocavirus-XM30_taxid_2259811.gbk	Bat-bocavirus_taxid_1329649.gbk	Bearded-dragon-parvovirus_taxid_1670662.gbk	Blattella-germanica-densovirus-1_taxid_220638.gbk	Bocavirus-gorilla-GBoV1-2009_taxid_864686.gbk	Bocavirus-pig-SX-China-2010_taxid_912967.gbk	Bombyx-mori-densovirus-1_taxid_46253.gbk	Bombyx-mori-densovirus-5_taxid_125788.gbk	Bosavirus-MS-2016a_taxid_1917013.gbk	Bovine-adeno-associated-virus_taxid_256548.gbk	Bovine-hokovirus-1_taxid_494651.gbk	Bovine-parvovirus-1_taxid_365609.gbk	Bovine-parvovirus-3_taxid_172297.gbk	Bufavirus-3_taxid_1391667.gbk	California-sea-lion-bocavirus-1_taxid_1073959.gbk	California-sea-lion-bocavirus-3_taxid_1073961.gbk	Canine-bocavirus-1_taxid_1511885.gbk	Canine-minute-virus_taxid_329639.gbk	Canine-parvovirus_taxid_10788.gbk	Casphalia-extranea-densovirus_taxid_180586.gbk	Chicken-parvovirus-ABU-P1_taxid_717641.gbk	Chipmunk-parvovirus_taxid_56820.gbk	Danaus-plexippus-plexippus-iteravirus_taxid_1469956.gbk	Dendrolimus-punctatus-densovirus_taxid_292208.gbk	Diaphorina-citri-densovirus_taxid_1776153.gbk	Dromedary-camel-bocaparvovirus-1_taxid_2014603.gbk	Dromedary-camel-bocaparvovirus-2_taxid_2014604.gbk	Dysaphis-plantaginea-densovirus_taxid_551224.gbk	Eidolon-helvum-bat-parvovirus_taxid_1131483.gbk	Equine-parvovirus-H_taxid_2079554.gbk	Feline-bocaparvovirus-2_taxid_1417756.gbk	Feline-bocaparvovirus-3_taxid_2259807.gbk	Feline-bocavirus_taxid_1174530.gbk	Goose-parvovirus_taxid_38251.gbk	Helicoverpa-armigera-densovirus_taxid_1045778.gbk	Human-bocavirus-2c-PK_taxid_1511882.gbk	Human-bocavirus-3_taxid_638313.gbk	Human-bocavirus-4-NI_taxid_1511883.gbk	Human-erythrovirus-V9_taxid_72197.gbk	Human-parvovirus-4-G1_taxid_1511919.gbk	Lagomorph-bocaparvovirus-1_taxid_2169774.gbk	Lupine-bocavirus_taxid_2017714.gbk	Megabat-bufavirus-1_taxid_1756191.gbk	Miniopterus-schreibersii-bat-bocavirus_taxid_1911554.gbk	Mink-bocavirus-1_taxid_2259808.gbk	Minute-virus-of-mice_taxid_10794.gbk	Muscovy-duck-parvovirus_taxid_37325.gbk	Myotis-myotis-bocavirus-1_taxid_1195367.gbk	Myzus-persicae-densovirus_taxid_210016.gbk	Ovine-hokovirus_taxid_1096142.gbk	Papilio-polyxenes-densovirus_taxid_1221208.gbk	Parus-major-densovirus_taxid_1907771.gbk	Pig-tailed-macaque-parvovirus_taxid_119755.gbk	Planococcus-citri-densovirus_taxid_159153.gbk	Porcine-bocavirus-1-pig-ZJD-China-2006_taxid_795694.gbk	Porcine-bocavirus-3_taxid_1084715.gbk	Porcine-bocavirus-4-1_taxid_1084717.gbk	Porcine-bocavirus-5-JS677_taxid_1131622.gbk	Porcine-bocavirus-H18_taxid_1511887.gbk	Porcine-bocavirus_taxid_1165907.gbk	Porcine-hokovirus_taxid_494652.gbk	Porcine-partetravirus_taxid_1208310.gbk	Porcine-parvovirus_taxid_10796.gbk	Primate-bocaparvovirus-1_taxid_1511871.gbk	Primate-protoparvovirus-1_taxid_1511907.gbk	Raccoon-dog-amdovirus_taxid_1513315.gbk	Rat-bocavirus_taxid_1788315.gbk	Rat-parvovirus-1_taxid_74581.gbk	Rhesus-macaque-parvovirus_taxid_119756.gbk	Rhinolophus-pusillus-bocaparvovirus-1_taxid_2053079.gbk	Rhinolophus-pusillus-bocaparvovirus-2_taxid_2053080.gbk	Rousettus-leschenaultii-bocaparvovirus-1_taxid_2053082.gbk	Sea-star-associated-densovirus_taxid_1979755.gbk	Sesavirus-CSL10538_taxid_1519097.gbk	Sibine-fusca-densovirus_taxid_1217821.gbk	Simian-parvovirus_taxid_31598.gbk	Slow-loris-parvovirus-1_taxid_1581151.gbk	Solenopsis-invicta-densovirus_taxid_1414671.gbk	Tetraparvovirus-sp_taxid_1908804.gbk	Turkey-parvovirus-1078_taxid_740933.gbk	Turkey-parvovirus-260_taxid_740934.gbk	Ungulate-bocaparvovirus-6_taxid_1864484.gbk	Ungulate-tetraparvovirus-1_taxid_1511914.gbk	Wuharv-parvovirus-1_taxid_1245561.gbk	
1_Putative_nonstructur...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2_Putative_nonstructur...faa	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	
3_Putative_nonstructur...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
4_Putative_structural_...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
5_Putative_structural_...faa	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6_NS3.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8_NS2.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9_VP1.faa	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10_nonstructural_protei...faa	0	0	1	2	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	
11_capsid_protein.faa	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	1	
14_Rep_40_protein.faa	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	2	0	0	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	1	2	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	
17_major_coat_protein_V...faa	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	1	2	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	2	0	1	1	1	1	0	0	0	1	0	1	1	2	1	0	1	0	0	0	0	0	1	0	0	2	1	0	0	1	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	
