source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Parvoviridae/cluster_1_homologues_19062021_0804_intersection	Acheta-domestica-densovirus_taxid_185639.gbk	Acheta-domestica-mini-ambidensovirus_taxid_1404345.gbk	Adeno-associated-virus--1_taxid_85106.gbk	Adeno-associated-virus--2_taxid_10804.gbk	Adeno-associated-virus--3_taxid_46350.gbk	Adeno-associated-virus--4_taxid_57579.gbk	Adeno-associated-virus_taxid_272636.gbk	Aleutian-mink-disease-virus_taxid_28314.gbk	Amdoparvovirus-sp_taxid_1908805.gbk	Artibeus-jamaicensis-parvovirus-1_taxid_1131485.gbk	Avian-adeno-associated-virus-ATCC-VR-865_taxid_219704.gbk	Avian-adeno-associated-virus-strain-DA-1_taxid_281492.gbk	Bat-bocavirus-WM40_taxid_2259810.gbk	Bat-bocavirus-XM30_taxid_2259811.gbk	Bat-bocavirus_taxid_1329649.gbk	Bearded-dragon-parvovirus_taxid_1670662.gbk	Blattella-germanica-densovirus-1_taxid_220638.gbk	Bocavirus-gorilla-GBoV1-2009_taxid_864686.gbk	Bocavirus-pig-SX-China-2010_taxid_912967.gbk	Bombyx-mori-densovirus-1_taxid_46253.gbk	Bombyx-mori-densovirus-5_taxid_125788.gbk	Bosavirus-MS-2016a_taxid_1917013.gbk	Bovine-adeno-associated-virus_taxid_256548.gbk	Bovine-hokovirus-1_taxid_494651.gbk	Bovine-parvovirus-1_taxid_365609.gbk	Bovine-parvovirus-3_taxid_172297.gbk	Bufavirus-3_taxid_1391667.gbk	California-sea-lion-bocavirus-1_taxid_1073959.gbk	California-sea-lion-bocavirus-3_taxid_1073961.gbk	Canine-bocavirus-1_taxid_1511885.gbk	Canine-minute-virus_taxid_329639.gbk	Canine-parvovirus_taxid_10788.gbk	Casphalia-extranea-densovirus_taxid_180586.gbk	Chicken-parvovirus-ABU-P1_taxid_717641.gbk	Chipmunk-parvovirus_taxid_56820.gbk	Danaus-plexippus-plexippus-iteravirus_taxid_1469956.gbk	Dendrolimus-punctatus-densovirus_taxid_292208.gbk	Diaphorina-citri-densovirus_taxid_1776153.gbk	Dromedary-camel-bocaparvovirus-1_taxid_2014603.gbk	Dromedary-camel-bocaparvovirus-2_taxid_2014604.gbk	Dysaphis-plantaginea-densovirus_taxid_551224.gbk	Eidolon-helvum-bat-parvovirus_taxid_1131483.gbk	Equine-parvovirus-H_taxid_2079554.gbk	Feline-bocaparvovirus-2_taxid_1417756.gbk	Feline-bocaparvovirus-3_taxid_2259807.gbk	Feline-bocavirus_taxid_1174530.gbk	Goose-parvovirus_taxid_38251.gbk	Helicoverpa-armigera-densovirus_taxid_1045778.gbk	Human-bocavirus-2c-PK_taxid_1511882.gbk	Human-bocavirus-3_taxid_638313.gbk	Human-bocavirus-4-NI_taxid_1511883.gbk	Human-erythrovirus-V9_taxid_72197.gbk	Human-parvovirus-4-G1_taxid_1511919.gbk	Lagomorph-bocaparvovirus-1_taxid_2169774.gbk	Lupine-bocavirus_taxid_2017714.gbk	Megabat-bufavirus-1_taxid_1756191.gbk	Miniopterus-schreibersii-bat-bocavirus_taxid_1911554.gbk	Mink-bocavirus-1_taxid_2259808.gbk	Minute-virus-of-mice_taxid_10794.gbk	Muscovy-duck-parvovirus_taxid_37325.gbk	Myotis-myotis-bocavirus-1_taxid_1195367.gbk	Myzus-persicae-densovirus_taxid_210016.gbk	Ovine-hokovirus_taxid_1096142.gbk	Papilio-polyxenes-densovirus_taxid_1221208.gbk	Parus-major-densovirus_taxid_1907771.gbk	Pig-tailed-macaque-parvovirus_taxid_119755.gbk	Planococcus-citri-densovirus_taxid_159153.gbk	Porcine-bocavirus-1-pig-ZJD-China-2006_taxid_795694.gbk	Porcine-bocavirus-3_taxid_1084715.gbk	Porcine-bocavirus-4-1_taxid_1084717.gbk	Porcine-bocavirus-5-JS677_taxid_1131622.gbk	Porcine-bocavirus-H18_taxid_1511887.gbk	Porcine-bocavirus_taxid_1165907.gbk	Porcine-hokovirus_taxid_494652.gbk	Porcine-partetravirus_taxid_1208310.gbk	Porcine-parvovirus_taxid_10796.gbk	Primate-bocaparvovirus-1_taxid_1511871.gbk	Primate-protoparvovirus-1_taxid_1511907.gbk	Raccoon-dog-amdovirus_taxid_1513315.gbk	Rat-bocavirus_taxid_1788315.gbk	Rat-parvovirus-1_taxid_74581.gbk	Rhesus-macaque-parvovirus_taxid_119756.gbk	Rhinolophus-pusillus-bocaparvovirus-1_taxid_2053079.gbk	Rhinolophus-pusillus-bocaparvovirus-2_taxid_2053080.gbk	Rousettus-leschenaultii-bocaparvovirus-1_taxid_2053082.gbk	Sea-star-associated-densovirus_taxid_1979755.gbk	Sesavirus-CSL10538_taxid_1519097.gbk	Sibine-fusca-densovirus_taxid_1217821.gbk	Simian-parvovirus_taxid_31598.gbk	Slow-loris-parvovirus-1_taxid_1581151.gbk	Solenopsis-invicta-densovirus_taxid_1414671.gbk	Tetraparvovirus-sp_taxid_1908804.gbk	Turkey-parvovirus-1078_taxid_740933.gbk	Turkey-parvovirus-260_taxid_740934.gbk	Ungulate-bocaparvovirus-6_taxid_1864484.gbk	Ungulate-tetraparvovirus-1_taxid_1511914.gbk	Wuharv-parvovirus-1_taxid_1245561.gbk	
1_Putative_nonstructur...faa	ID:YP_227599.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
2_Putative_nonstructur...faa	ID:YP_227600.1,	ID:YP_008658568.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_874381.1,	-	-	ID:NP_542609.1,	ID:NP_694834.1,	-	-	-	-	-	-	-	-	-	-	-	ID:NP_694838.1,	-	-	ID:YP_009021036.1,	ID:YP_164339.1,	ID:YP_009256211.1,	-	-	ID:YP_009362129.1,	-	-	-	-	-	-	ID:YP_004678720.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_006589928.1,	ID:YP_009310053.1,	-	ID:NP_694843.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009507340.1,	-	ID:YP_006576512.1,	-	-	ID:YP_008766862.1,	-	-	-	-	-	-	
3_Putative_nonstructur...faa	ID:YP_227601.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_008766861.1,	-	-	-	-	-	-	
4_Putative_structural_...faa	ID:YP_227602.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_874379.2,ID:NP_874380.1,ID:YP_009407715.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009362131.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:NP_874377.1,	-	-	ID:YP_009310055.1,	-	ID:NP_694842.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_008766863.1,	-	-	-	-	-	-	
5_Putative_structural_...faa	ID:YP_227603.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
6_NS3.faa	-	ID:YP_008658567.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
8_NS2.faa	-	ID:YP_008658569.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
9_VP1.faa	-	ID:YP_008658570.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
10_nonstructural_protei...faa	-	-	ID:NP_049541.1,	ID:YP_680422.1,ID:YP_680423.1,	ID:NP_043940.1,	ID:NP_044926.1,	ID:YP_009552823.1,	-	-	ID:YP_005097851.1,	ID:NP_852780.1,	ID:YP_077182.1,	-	-	-	ID:YP_009154712.1,	-	-	-	-	-	ID:YP_009325417.2,	ID:YP_024970.1,	ID:YP_009508196.1,	-	ID:YP_009465713.1,	-	-	-	-	-	-	-	-	ID:YP_009507375.1,	-	-	-	-	-	-	ID:YP_005090504.1,	ID:YP_009552775.1,	-	-	-	ID:NP_043514.1,	-	-	-	-	ID:NP_694863.1,	ID:YP_238482.1,	-	-	-	-	-	-	ID:YP_068410.1,	-	-	ID:YP_009507390.1,	-	-	ID:YP_009507373.1,	-	-	-	-	-	-	-	ID:YP_009507385.1,	ID:YP_008439207.1,	-	-	-	-	-	-	ID:YP_009507371.1,	-	-	-	-	ID:YP_009116876.1,	-	ID:YP_009507368.1,	ID:YP_009111339.1,	-	ID:YP_009315886.1,	-	-	-	ID:YP_009175068.1,	-	
