Core.size Pan.size BIC LogLikelihood
2 components 0 110 975.514739541955 -480.762211129809
3 components 0 235 337.475187410159 -157.078995969799
4 components 0 228 346.308165591221 -156.832045966218
5 components 0 177 333.950951694094 -145.989999923543
6 components 0 208 329.704964936581 -139.203567450674
7 components 0 223 337.21740297033 -138.296347373436
8 components 0 171 379.522850312122 -154.78563195022
9 components 0 179 384.212121887453 -152.466828643774
10 components 0 187 373.664376843171 -142.529517027521
Sample 0 106 NA NA
