1,Ageratum-conyzoides-associated-symptomless-alphasatellite_taxid_944995.gbk,ID:YP_009052483.1 |[Ageratum conyzoides associated symptomless alphasatellite]||Ageratum-conyzoides-associated-symptomless-alphasatellite_taxid_944995.gbk|Rep|855|NC_024710(1437):156-1010:1 ^GeneID:20098677^ Ageratum conyzoides symtomless alphasatellite complete sequence, isolate Okra, clone Neo 23.|neighbours:start(),end()|neighbour_genes:start(),end()|
2,Ageratum-conyzoides-symptomless-alphasatellite_taxid_1705092.gbk,ID:YP_009174978.1 |[Ageratum conyzoides symptomless alphasatellite]||Ageratum-conyzoides-symptomless-alphasatellite_taxid_1705092.gbk|alpha-rep|948|NC_028116(1381):83-1030:1 ^GeneID:26101510^ Ageratum conyzoides symptomless alphasatellite isolate WOK80, complete sequence.|neighbours:start(),end()|neighbour_genes:start(),end()|
3,Ageratum-enation-alphasatellite_taxid_1260769.gbk,ID:YP_007011043.1 |[Ageratum enation alphasatellite]||Ageratum-enation-alphasatellite_taxid_1260769.gbk|Rep|948|NC_019547(1378):80-1027:1 ^GeneID:14017239^ Ageratum enation alphasatellite, complete genome.|neighbours:start(),end()|neighbour_genes:start(),end()|
4,Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk,ID:YP_004046685.1 |[Ageratum leaf curl Cameroon alphasatellite]||Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk|v2|225|NC_014744(1383):167-391:1 ^GOA:E5AZV7,GeneID:10002885,InterPro:IPR002511,UniProtKB/TrEMBL:E5AZV7^ Ageratum leaf curl Cameroon alphasatellite, complete genome.|neighbours:start(),ID:YP_004046686.1(1)|neighbour_genes:start(),rep|
5,Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk,ID:YP_004046686.1 |[Ageratum leaf curl Cameroon alphasatellite]||Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk|rep|210|NC_014744(1383):702-911:1 ^GeneID:10002884,UniProtKB/TrEMBL:E5AZV8^ Ageratum leaf curl Cameroon alphasatellite, complete genome.|neighbours:ID:YP_004046685.1(1),ID:YP_004046687.1(-1)|neighbour_genes:v2,rep|
6,Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk,ID:YP_004046687.1 |[Ageratum leaf curl Cameroon alphasatellite]||Ageratum-leaf-curl-Cameroon-alphasatellite_taxid_743035.gbk|rep|348|NC_014744(1383):878-1225:-1 ^GOA:E5AZV9,GeneID:10002883,InterPro:IPR001191,InterPro:IPR001301,InterPro:IPR022690,UniProtKB/TrEMBL:E5AZV9^ Ageratum leaf curl Cameroon alphasatellite, complete genome.|neighbours:ID:YP_004046686.1(1),end()|neighbour_genes:rep,end()|
7,Ageratum-yellow-vein-China-alphasatellite_taxid_1454227.gbk,ID:YP_009001905.1 |[Ageratum yellow vein China alphasatellite]||Ageratum-yellow-vein-China-alphasatellite_taxid_1454227.gbk|rep|948|NC_023443(1365):71-1018:1 ^GeneID:18267050^ Ageratum yellow vein China alphasatellite isolate Sn3 segment DNA-1, complete sequence.|neighbours:start(),end()|neighbour_genes:start(),end()|
8,Ageratum-yellow-vein-India-alphasatellite_taxid_1407058.gbk,ID:YP_007011042.1 |[Ageratum yellow vein India alphasatellite]||Ageratum-yellow-vein-India-alphasatellite_taxid_1407058.gbk|Rep|948|NC_019546(1389):79-1026:1 ^GeneID:14017237^ Ageratum yellow vein India alphasatellite isolate NBRI, complete sequence.|neighbours:start(),end()|neighbour_genes:start(),end()|
9,Ageratum-yellow-vein-Pakistan-alphasatellite_taxid_1468596.gbk,ID:YP_009337826.1 |[Ageratum yellow vein Pakistan alphasatellite]||Ageratum-yellow-vein-Pakistan-alphasatellite_taxid_1468596.gbk|alpha Rep|948|NC_033271(1370):80-1027:1 ^GeneID:30855482^ Ageratum yellow vein Pakistan alphasatellite alpha Rep gene, isolate H5A1.|neighbours:start(),end()|neighbour_genes:start(),end()|
10,Ageratum-yellow-vein-Singapore-alphasatellite_taxid_915293.gbk,ID:NP_579867.1 |[Ageratum yellow vein Singapore alphasatellite]||Ageratum-yellow-vein-Singapore-alphasatellite_taxid_915293.gbk|Rep|888|NC_003414(1360):57-944:1 ^GeneID:935138^ Ageratum yellow vein Singapore alphasatellite-[Singapore;1998], complete genome.|neighbours:start(),end()|neighbour_genes:start(),end()|
11,Ageratum-yellow-vein-alphasatellite_taxid_187850.gbk,ID:YP_009344825.1 |[Ageratum yellow vein alphasatellite]||Ageratum-yellow-vein-alphasatellite_taxid_187850.gbk|Rep|948|NC_033555(1364):73-1020:1 ^GeneID:30906015^ Ageratum yellow vein alphasatellite clone N36-24, complete sequence.|neighbours:start(),end()|neighbour_genes:start(),end()|
