1,284,595
2,315,663
3,315,663
4,74,154
5,69,141
6,115,232
7,315,661
8,315,662
9,315,662
10,295,620
11,315,663
12,283,589
13,284,588
14,315,664
15,153,320
16,295,619
17,298,629
18,281,591
19,284,594
20,315,664
21,315,662
22,314,659
23,315,663
24,313,650
25,69,147
26,85,178
27,287,596
28,287,595
29,290,603
30,108,219
31,315,661
32,315,663
33,315,664
34,315,664
35,313,654
36,313,651
37,167,345
38,315,658
39,139,286
40,307,639
41,314,652
42,278,588
43,279,583
44,65,127
45,278,589
46,77,161
47,282,594
48,283,594
49,281,583
50,315,662
51,295,622
52,295,622
53,315,660
54,315,663
55,289,609
56,316,665
57,315,664
58,314,652
59,139,285
60,289,610
61,281,588
62,283,592
63,282,590
64,284,598
65,315,662
66,315,664
67,315,665
68,315,660
69,217,455
70,315,665
71,315,664
72,289,608
73,289,608
74,312,652
75,224,468
76,279,585
77,284,597
78,315,661
79,315,663
80,315,663
81,315,660
82,315,662
83,315,663
84,281,589
85,279,586
86,282,590
87,285,603
88,286,602
89,280,590
90,285,600
91,315,662
92,315,662
93,315,661
94,315,664
95,317,667
96,317,669
97,315,664
98,204,426
99,315,660
100,314,659
101,315,661
102,313,649
103,295,625
104,314,657
105,313,649
106,313,650
