1,Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk,ID:YP_009553240.1 |[Ashy storm petrel gyrovirus]||Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk|hypothetical protein|309|NC_040720(2394):200-508:1 ^GeneID:41702251^ Ashy storm petrel gyrovirus isolate a12a1_528, complete genome.|neighbours:start(),ID:YP_009553241.1(1)|neighbour_genes:start(),VP2|
2,Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk,ID:YP_009553241.1 |[Ashy storm petrel gyrovirus]||Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk|VP2|669|NC_040720(2394):205-873:1 ^GeneID:41702250^ Ashy storm petrel gyrovirus isolate a12a1_528, complete genome.|neighbours:ID:YP_009553240.1(1),ID:YP_009553242.1(1)|neighbour_genes:hypothetical protein,VP1|
3,Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk,ID:YP_009553242.1 |[Ashy storm petrel gyrovirus]||Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk|VP1|1368|NC_040720(2394):609-1976:1 ^GeneID:41702249^ Ashy storm petrel gyrovirus isolate a12a1_528, complete genome.|neighbours:ID:YP_009553241.1(1),ID:YP_009553243.1(1)|neighbour_genes:VP2,ORF3|
4,Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk,ID:YP_009553243.1 |[Ashy storm petrel gyrovirus]||Ashy-storm-petrel-gyrovirus_taxid_2249930.gbk|ORF3|273|NC_040720(2394):2053-2325:1 ^GeneID:41702248^ Ashy storm petrel gyrovirus isolate a12a1_528, complete genome.|neighbours:ID:YP_009553242.1(1),end()|neighbour_genes:VP1,end()|
5,Avian-gyrovirus-2_taxid_1002273.gbk,ID:YP_004376203.1 |[Avian gyrovirus 2]||Avian-gyrovirus-2_taxid_1002273.gbk|putative dual-specif..|696|NC_015396(2383):450-1145:1 ^GeneID:10447553^ Avian gyrovirus 2, complete genome.|neighbours:start(),ID:YP_004376204.1(1)|neighbour_genes:start(),VP3|
6,Avian-gyrovirus-2_taxid_1002273.gbk,ID:YP_004376204.1 |[Avian gyrovirus 2]||Avian-gyrovirus-2_taxid_1002273.gbk|VP3|375|NC_015396(2383):577-951:1 ^GeneID:10447551^ Avian gyrovirus 2, complete genome.|neighbours:ID:YP_004376203.1(1),ID:YP_004376205.1(1)|neighbour_genes:putative dual-specif..,putative nucleocapsi..|
7,Avian-gyrovirus-2_taxid_1002273.gbk,ID:YP_004376205.1 |[Avian gyrovirus 2]||Avian-gyrovirus-2_taxid_1002273.gbk|putative nucleocapsi..|1383|NC_015396(2383):953-2335:1 ^GeneID:10447552^ Avian gyrovirus 2, complete genome.|neighbours:ID:YP_004376204.1(1),end()|neighbour_genes:VP3,end()|
8,Chicken-anemia-virus_taxid_12618.gbk,ID:NP_595041.1 |[Chicken anemia virus]||Chicken-anemia-virus_taxid_12618.gbk|hypothetical protein|276|NC_001427(2319):57-332:1 ^GeneID:1724885^ Chicken anemia virus, complete genome.|neighbours:start(),ID:NP_056773.1(1)|neighbour_genes:start(),Cux-1|
9,Chicken-anemia-virus_taxid_12618.gbk,ID:NP_056773.1 |[Chicken anemia virus]||Chicken-anemia-virus_taxid_12618.gbk|Cux-1|651|NC_001427(2319):380-1030:1 ^GeneID:1494446^ Chicken anemia virus, complete genome.|neighbours:ID:NP_595041.1(1),ID:NP_056774.1(1)|neighbour_genes:hypothetical protein,Cux-1|
10,Chicken-anemia-virus_taxid_12618.gbk,ID:NP_056774.1 |[Chicken anemia virus]||Chicken-anemia-virus_taxid_12618.gbk|Cux-1|366|NC_001427(2319):486-851:1 ^GeneID:1494446^ Chicken anemia virus, complete genome.|neighbours:ID:NP_056773.1(1),ID:NP_056775.1(1)|neighbour_genes:Cux-1,Cux-1|
11,Chicken-anemia-virus_taxid_12618.gbk,ID:NP_056775.1 |[Chicken anemia virus]||Chicken-anemia-virus_taxid_12618.gbk|Cux-1|1350|NC_001427(2319):853-2202:1 ^GeneID:1494446^ Chicken anemia virus, complete genome.|neighbours:ID:NP_056774.1(1),end()|neighbour_genes:Cux-1,end()|
