source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Bacilladnaviridae/cluster_2_homologues_19062021_0416_intersection	Bacillariodnavirus-LDMD-2013_taxid_1379694.gbk	Chaetoceros-protobacilladnavirus-1_taxid_2170140.gbk	Chaetoceros-protobacilladnavirus-3_taxid_2170142.gbk	Chaetoceros-protobacilladnavirus-4_taxid_2170143.gbk	Chaetoceros-sp-DNA-virus-7_taxid_1382995.gbk	
1_hypothetical_protein.faa	ID:YP_009109632.1,	-	-	-	-	
2_hypothetical_protein.faa	ID:YP_009109633.1,	-	-	-	-	
4_replication-associat...faa	ID:YP_009109635.1,	ID:YP_473359.1,	-	-	-	
5_hypothetical_protein.faa	-	ID:YP_473358.1,	-	-	-	
7_hypothetical_protein.faa	-	ID:YP_473360.1,	-	-	-	
8_hypothetical_protein.faa	-	ID:YP_473361.1,	-	-	-	
11_hypothetical_protein.faa	-	ID:YP_473363.1,	ID:YP_004286320.1,	-	ID:YP_009001775.1,	
12_hypothetical_protein.faa	ID:YP_009109634.1,	ID:YP_473362.1,	ID:YP_004286321.1,	ID:YP_004046697.1,	ID:YP_009001776.1,	
13_putative_replication-associated_protein.faa	-	-	ID:YP_004286322.1,	ID:YP_004046698.1,	ID:YP_009001777.1,	
14_hypothetical_protein.faa	-	-	-	ID:YP_004046696.1,	-	
