source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Bacilladnaviridae/cluster_2_homologues_19062021_0416_intersection	Bacillariodnavirus-LDMD-2013_taxid_1379694.gbk	Chaetoceros-protobacilladnavirus-1_taxid_2170140.gbk	Chaetoceros-protobacilladnavirus-3_taxid_2170142.gbk	Chaetoceros-protobacilladnavirus-4_taxid_2170143.gbk	Chaetoceros-sp-DNA-virus-7_taxid_1382995.gbk	
1_hypothetical_protein.faa	1	0	0	0	0	
2_hypothetical_protein.faa	1	0	0	0	0	
4_replication-associat...faa	1	1	0	0	0	
5_hypothetical_protein.faa	0	1	0	0	0	
7_hypothetical_protein.faa	0	1	0	0	0	
8_hypothetical_protein.faa	0	1	0	0	0	
11_hypothetical_protein.faa	0	1	1	0	1	
12_hypothetical_protein.faa	1	1	1	1	1	
13_putative_replication-associated_protein.faa	0	0	1	1	1	
14_hypothetical_protein.faa	0	0	0	1	0	
