3,3,21,21
21,21,3,3
3,3,36,36
36,36,3,3
3,3,49,49
49,49,3,3
3,3,64,64
64,64,3,3
3,3,80,80
80,80,3,3
3,3,90,90
90,90,3,3
3,3,102,102
102,102,3,3
3,3,117,117
117,117,3,3
5,5,104,104
104,104,5,5
6,6,24,24
24,24,6,6
6,6,39,39
39,39,6,6
6,6,52,52
52,52,6,6
6,6,67,67
67,67,6,6
6,6,84,84
84,84,6,6
6,6,93,93
93,93,6,6
6,6,105,105
105,105,6,6
6,6,120,120
120,120,6,6
7,7,26,26
26,26,7,7
7,7,40,40
40,40,7,7
7,7,53,53
53,53,7,7
7,7,68,68
68,68,7,7
7,7,106,106
106,106,7,7
11,11,31,31
31,31,11,11
11,11,43,43
43,43,11,11
11,11,57,57
57,57,11,11
11,11,72,72
72,72,11,11
11,11,109,109
109,109,11,11
19,19,33,33
33,33,19,19
19,19,46,46
46,46,19,19
19,19,61,61
61,61,19,19
21,21,36,36
36,36,21,21
21,21,49,49
49,49,21,21
21,21,64,64
64,64,21,21
21,21,80,80
80,80,21,21
21,21,90,90
90,90,21,21
21,21,117,117
117,117,21,21
22,22,37,37
37,37,22,22
22,22,50,50
50,50,22,22
22,22,65,65
65,65,22,22
22,22,91,91
91,91,22,22
22,22,118,118
118,118,22,22
23,23,38,38
38,38,23,23
23,23,51,51
51,51,23,23
23,23,66,66
66,66,23,23
24,24,39,39
39,39,24,24
24,24,52,52
52,52,24,24
24,24,67,67
67,67,24,24
24,24,84,84
84,84,24,24
26,26,40,40
40,40,26,26
26,26,53,53
53,53,26,26
26,26,68,68
68,68,26,26
26,26,106,106
106,106,26,26
30,30,42,42
42,42,30,30
30,30,56,56
56,56,30,30
30,30,71,71
71,71,30,30
31,31,43,43
43,43,31,31
31,31,57,57
57,57,31,31
31,31,72,72
72,72,31,31
31,31,109,109
109,109,31,31
33,33,46,46
46,46,33,33
33,33,61,61
61,61,33,33
34,34,47,47
47,47,34,34
34,34,62,62
62,62,34,34
35,35,48,48
48,48,35,35
35,35,63,63
63,63,35,35
36,36,49,49
49,49,36,36
36,36,64,64
64,64,36,36
36,36,90,90
90,90,36,36
36,36,102,102
102,102,36,36
36,36,117,117
117,117,36,36
37,37,50,50
50,50,37,37
37,37,65,65
65,65,37,37
38,38,51,51
51,51,38,38
38,38,66,66
66,66,38,38
38,38,83,83
83,83,38,38
39,39,52,52
52,52,39,39
39,39,67,67
67,67,39,39
39,39,84,84
84,84,39,39
39,39,93,93
93,93,39,39
39,39,105,105
105,105,39,39
39,39,120,120
120,120,39,39
40,40,53,53
53,53,40,40
40,40,68,68
68,68,40,40
41,41,55,55
55,55,41,41
41,41,70,70
70,70,41,41
42,42,56,56
56,56,42,42
42,42,71,71
71,71,42,42
43,43,57,57
57,57,43,43
43,43,72,72
72,72,43,43
43,43,109,109
109,109,43,43
44,44,58,58
58,58,44,44
44,44,74,74
74,74,44,44
45,45,60,60
60,60,45,45
45,45,76,76
76,76,45,45
45,45,112,112
112,112,45,45
46,46,61,61
61,61,46,46
47,47,62,62
62,62,47,47
48,48,63,63
63,63,48,48
49,49,64,64
64,64,49,49
49,49,90,90
90,90,49,49
49,49,102,102
102,102,49,49
49,49,117,117
117,117,49,49
50,50,65,65
65,65,50,50
51,51,66,66
66,66,51,51
51,51,83,83
83,83,51,51
52,52,67,67
67,67,52,52
52,52,84,84
84,84,52,52
52,52,93,93
93,93,52,52
52,52,105,105
105,105,52,52
52,52,120,120
120,120,52,52
53,53,68,68
68,68,53,53
53,53,106,106
106,106,53,53
54,54,69,69
69,69,54,54
55,55,70,70
70,70,55,55
56,56,71,71
71,71,56,56
57,57,72,72
72,72,57,57
57,57,109,109
109,109,57,57
58,58,74,74
74,74,58,58
59,59,75,75
75,75,59,59
60,60,76,76
76,76,60,60
60,60,112,112
112,112,60,60
64,64,80,80
80,80,64,64
64,64,90,90
90,90,64,64
64,64,102,102
102,102,64,64
64,64,117,117
117,117,64,64
66,66,83,83
83,83,66,66
67,67,84,84
84,84,67,67
67,67,93,93
93,93,67,67
67,67,105,105
105,105,67,67
67,67,120,120
120,120,67,67
68,68,106,106
106,106,68,68
72,72,109,109
109,109,72,72
76,76,112,112
112,112,76,76
77,77,86,86
86,86,77,77
77,77,113,113
113,113,77,77
79,79,89,89
89,89,79,79
79,79,116,116
116,116,79,79
82,82,91,91
91,91,82,82
83,83,92,92
92,92,83,83
83,83,119,119
119,119,83,83
84,84,93,93
93,93,84,84
84,84,120,120
120,120,84,84
86,86,113,113
113,113,86,86
88,88,115,115
115,115,88,88
89,89,116,116
116,116,89,89
90,90,102,102
102,102,90,90
90,90,117,117
117,117,90,90
91,91,118,118
118,118,91,91
92,92,119,119
119,119,92,92
93,93,120,120
120,120,93,93
100,100,122,122
122,122,100,100
102,102,117,117
117,117,102,102
