1,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798564.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|VP1|459|NC_047928(11648):1-459:1 ^GeneID:54989043^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:start(),ID:YP_009798565.1(1)|neighbour_genes:start(),putative protein 2|
2,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798565.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 2|231|NC_047928(11648):465-695:1 ^GeneID:54989028^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798564.1(1),ID:YP_009798566.1(1)|neighbour_genes:VP1,VP3|
3,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798566.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|VP3|1842|NC_047928(11648):692-2533:1 ^GeneID:54989044^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798565.1(1),ID:YP_009798567.1(1)|neighbour_genes:putative protein 2,putative protein 4|
4,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798567.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 4|552|NC_047928(11648):2541-3092:1 ^GeneID:54989029^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798566.1(1),ID:YP_009798568.1(1)|neighbour_genes:VP3,putative protein 5|
5,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798568.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 5|795|NC_047928(11648):3089-3883:1 ^GeneID:54989030^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798567.1(1),ID:YP_009798569.1(1)|neighbour_genes:putative protein 4,putative protein 6|
6,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798569.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 6|1173|NC_047928(11648):3876-5048:1 ^GeneID:54989031^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798568.1(1),ID:YP_009798570.1(1)|neighbour_genes:putative protein 5,putative protein 7|
7,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798570.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 7|384|NC_047928(11648):5209-5592:1 ^GeneID:54989032^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798569.1(1),ID:YP_009798571.1(1)|neighbour_genes:putative protein 6,putative protein 8|
8,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798571.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 8|501|NC_047928(11648):5680-6180:1 ^GeneID:54989033^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798570.1(1),ID:YP_009798572.1(-1)|neighbour_genes:putative protein 7,putative protein 9|
9,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798572.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 9|192|NC_047928(11648):6205-6396:-1 ^GeneID:54989034^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798571.1(1),ID:YP_009798573.1(-1)|neighbour_genes:putative protein 8,putative protein 10|
10,Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk,ID:YP_009798573.1 |[Haloarcula hispanica pleomorphic virus 3]||Haloarcula-hispanica-pleomorphic-virus-3_taxid_1879051.gbk|putative protein 10|366|NC_047928(11648):6456-6821:-1 ^GeneID:54989035^ Haloarcula hispanica pleomorphic virus 3, complete genome.|neighbours:ID:YP_009798572.1(-1),ID:YP_009798574.1(-1)|neighbour_genes:putative protein 9,putative protein 11|
