1,286,598
2,160,329
3,154,322
4,170,353
5,116,235
6,154,318
7,117,238
8,161,326
9,175,366
10,286,602
11,153,317
12,117,243
13,170,345
14,173,357
15,158,318
16,286,599
17,123,254
18,109,217
19,160,326
20,286,598
21,170,352
22,117,238
23,155,323
24,104,209
25,171,352
26,170,341
27,115,238
28,160,322
29,286,602
30,112,234
31,151,317
32,118,247
33,169,345
34,286,599
35,157,317
36,106,214
37,172,356
38,121,252
39,153,320
40,114,240
41,124,257
42,153,318
43,105,211
44,82,169
45,286,599
46,169,349
47,155,314
48,172,355
49,286,600
50,174,352
51,112,234
52,106,216
53,153,318
54,121,248
55,172,355
56,154,309
57,112,236
58,169,347
59,153,318
60,286,598
61,125,261
62,172,358
63,123,248
64,150,304
65,169,348
66,170,350
67,153,321
68,103,203
69,119,246
70,286,598
71,118,245
72,154,315
73,151,308
74,153,322
75,124,263
76,103,199
77,171,356
78,165,335
79,112,232
80,286,600
81,146,294
82,286,600
83,169,342
84,153,319
85,112,235
86,164,333
