Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome fragment,Order within fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Propionibacterium-phage-B5_taxid_189836.gbk,Pseudomonas-phage-Pf3_taxid_10872.gbk,Ralstonia-phage-PE226_taxid_926543.gbk,Ralstonia-phage-RSS20_taxid_1354496.gbk,Stenotrophomonas-phage-phiSHP2_taxid_1027253.gbk,Thermus-phage-phiOH3_taxid_1968339.gbk,Uncultured-phage-WW-nAnB-strain-2_taxid_1449896.gbk,Uncultured-phage-WW-nAnB-strain-3_taxid_1449897.gbk,uncultured-phage-WW-nAnB_taxid_1074044.gbk
1_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
2_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
3_Putative_structural_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
4_Putative_structural_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
5_Putative_coat_protei...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
6_Putative_structural_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
7_Putative_structural_...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
9_Putative_replication...faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
10_hypothetical_protein.faa,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0
11_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
12_major_coat_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
13_50-kDa_virion_protei...faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
15_IV.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
16_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,1,0,1,0,0,0,0
17_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
18_hypothetical_protein.faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
19_ssDNA-binding_protei...faa,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0
20_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0
21_putative_minor_coat_...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
22_putative_minor_coat_...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
23_putative_major_coat_...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
24_putative_minor_coat_...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
25_putative_minor_coat_...faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
27_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0
28_putative_phage_DNA_r...faa,,,,,,,,,,,,,,0,0,1,1,1,0,0,0,0
29_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
32_major_coat_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
33_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
34_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
35_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
37_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0
39_single-stranded_DNA_...faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
40_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
41_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
42_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
45_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
46_hypothetical_protein.faa,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0
47_II.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
48_V.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
49_VII.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
50_IX.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
51_VIII.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
52_III.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
53_VI.faa,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0
54_IV.faa,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0
55_protein_A.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
57_protein_C.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1
58_protein_D.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
59_protein_E.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
60_protein_F.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
61_protein_G.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
62_protein_H.faa,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
65_protein_C.faa,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
