"","cluster_name","size","taxa","Pfam_IDs","aa_file","na_file","taxids","Percentage_prevalence"
"1","1_VP1",1,1,"","1_VP1.faa","1_VP1.fna","1879051",11.1111111111111
"2","2_putative_protein_2",1,1,"","2_putative_protein_2.faa","2_putative_protein_2.fna","1879051",11.1111111111111
"3","80_VP4_precursor",9,9,"","80_VP4_precursor.faa","80_VP4_precursor.fna","1879051_1156722_2507576_2507577_2507578_634168_1156719_1156720_1156721",100
"4","4_putative_protein_4",1,1,"","4_putative_protein_4.faa","4_putative_protein_4.fna","1879051",11.1111111111111
"5","5_putative_protein_5",2,2,"","5_putative_protein_5.faa","5_putative_protein_5.fna","1879051_1156720",22.2222222222222
"6","84_VP8",7,7,"","84_VP8.faa","84_VP8.fna","1879051_1156722_2507576_2507577_2507578_634168_1156720",77.7777777777778
"7","7_putative_protein_7",6,6,"","7_putative_protein_7.faa","7_putative_protein_7.fna","1879051_1156722_2507576_2507577_2507578_1156720",66.6666666666667
"8","8_putative_protein_8",1,1,"","8_putative_protein_8.faa","8_putative_protein_8.fna","1879051",11.1111111111111
"9","9_putative_protein_9",1,1,"","9_putative_protein_9.faa","9_putative_protein_9.fna","1879051",11.1111111111111
"10","10_putative_protein_10",1,1,"","10_putative_protein_10.faa","10_putative_protein_10.fna","1879051",11.1111111111111
"11","11_putative_protein_11",6,6,"","11_putative_protein_11.faa","11_putative_protein_11.fna","1879051_1156722_2507576_2507577_2507578_1156720",66.6666666666667
"12","12_putative_protein_12",1,1,"","12_putative_protein_12.faa","12_putative_protein_12.fna","1879051",11.1111111111111
"13","13_putative_protein_13",1,1,"PF08281_","13_putative_protein_13.faa","13_putative_protein_13.fna","1879051",11.1111111111111
"14","14_putative_protein_14",1,1,"","14_putative_protein_14.faa","14_putative_protein_14.fna","1879051",11.1111111111111
"15","15_putative_protein_15",1,1,"","15_putative_protein_15.faa","15_putative_protein_15.fna","1879051",11.1111111111111
"16","16_putative_protein_16",1,1,"","16_putative_protein_16.faa","16_putative_protein_16.fna","1879051",11.1111111111111
"17","17_putative_protein_17",1,1,"","17_putative_protein_17.faa","17_putative_protein_17.fna","1879051",11.1111111111111
"18","18_ORF1",1,1,"","18_ORF1.faa","18_ORF1.fna","1156722",11.1111111111111
"19","19_2",4,4,"","19_2.faa","19_2.fna","1156722_2507576_2507577_2507578",44.4444444444444
"20","20_3",1,1,"","20_3.faa","20_3.fna","1156722",11.1111111111111
"21","22_ORF5",4,4,"","22_ORF5.faa","22_ORF5.fna","1156722_2507576_2507577_2507578",44.4444444444444
"22","83_hypothetical_protein",5,5,"","83_hypothetical_protein.faa","83_hypothetical_protein.fna","1156722_2507576_2507577_2507578_634168",55.5555555555556
"23","25_ORF8",1,1,"","25_ORF8.faa","25_ORF8.fna","1156722",11.1111111111111
"24","27_ORF10",1,1,"PF01555_","27_ORF10.faa","27_ORF10.fna","1156722",11.1111111111111
"25","28_ORF11",1,1,"","28_ORF11.faa","28_ORF11.fna","1156722",11.1111111111111
