"","GO:0019012","GO:0042025","GO:0039615","GO:0044196"
"4_Putative_structural_..",NA,NA,TRUE,NA
"5_Putative_structural_..",TRUE,TRUE,TRUE,TRUE
"9_VP1",TRUE,TRUE,TRUE,TRUE
"10_nonstructural_protei..",NA,TRUE,NA,NA
"11_capsid_protein",TRUE,TRUE,TRUE,TRUE
"17_major_coat_protein_V..",TRUE,TRUE,TRUE,TRUE
"36_NS1",NA,TRUE,NA,NA
"51_Cap",TRUE,TRUE,TRUE,TRUE
"63_VP2",TRUE,TRUE,TRUE,TRUE
"87_putative_VP1",TRUE,TRUE,TRUE,TRUE
"90_capsid_protein_VP",TRUE,TRUE,TRUE,TRUE
"139_hypothetical_protein",TRUE,TRUE,TRUE,TRUE
"146_VP",TRUE,TRUE,TRUE,TRUE
"177_putative_structural_..",NA,NA,TRUE,NA
"178_putative_structural_..",TRUE,TRUE,TRUE,TRUE
"219_NS1",NA,TRUE,NA,NA
"336_cap",TRUE,TRUE,TRUE,TRUE
"358_putative_structural_..",TRUE,TRUE,TRUE,TRUE
"417_non-structural_prote..",NA,TRUE,NA,NA
"468_structural_protein",TRUE,TRUE,TRUE,TRUE
"491_VP1",TRUE,TRUE,TRUE,TRUE
