"","ATP binding","DNA binding","structural molecule activity","viral capsid","DNA replication","DNA helicase activity","viral genome replication"
"2_Putative_nonstructur..",NA,NA,NA,NA,NA,NA,TRUE
"4_Putative_structural_..",NA,NA,TRUE,TRUE,NA,NA,NA
"5_Putative_structural_..",NA,NA,TRUE,NA,NA,NA,NA
"9_VP1",NA,NA,TRUE,TRUE,NA,NA,NA
"10_nonstructural_protei..",NA,NA,NA,NA,NA,NA,TRUE
"11_capsid_protein",NA,NA,TRUE,TRUE,NA,NA,NA
"14_Rep_40_protein",NA,NA,NA,NA,NA,NA,TRUE
"17_major_coat_protein_V..",NA,NA,TRUE,TRUE,NA,NA,NA
"33_NS1",NA,NA,NA,NA,NA,NA,TRUE
"36_NS1",TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE
"39_hypothetical_protein",NA,NA,NA,NA,NA,NA,TRUE
"51_Cap",NA,NA,TRUE,TRUE,NA,NA,NA
"63_VP2",NA,NA,TRUE,TRUE,NA,NA,NA
"87_putative_VP1",NA,NA,TRUE,TRUE,NA,NA,NA
"90_capsid_protein_VP",NA,NA,TRUE,NA,NA,NA,TRUE
"115_NS1",NA,NA,NA,NA,NA,NA,TRUE
"137_polyprotein",NA,NA,NA,NA,NA,NA,TRUE
"139_hypothetical_protein",NA,NA,TRUE,TRUE,NA,NA,NA
"146_VP",NA,NA,TRUE,TRUE,NA,NA,NA
"166_cap",NA,NA,NA,NA,NA,NA,TRUE
"168_non-structural_prote..",NA,NA,NA,NA,NA,NA,TRUE
"173_nonstructural_protei..",NA,NA,NA,NA,NA,NA,TRUE
"177_putative_structural_..",NA,NA,TRUE,TRUE,NA,NA,NA
"178_putative_structural_..",NA,NA,TRUE,NA,NA,NA,NA
"219_NS1",TRUE,TRUE,NA,NA,TRUE,TRUE,NA
"280_NS1",NA,NA,NA,NA,NA,NA,TRUE
"336_cap",NA,NA,TRUE,NA,NA,NA,NA
"358_putative_structural_..",NA,NA,TRUE,NA,NA,NA,NA
"417_non-structural_prote..",NA,NA,NA,NA,NA,NA,TRUE
"491_VP1",NA,NA,TRUE,NA,NA,NA,NA
