X	cluster_name	size	taxa	Pfam_IDs	aa_file	na_file	taxids	Percentage_prevalence	Prevalencia_final_v1	Prevalencia_final_v2
1	1_II	3	3	PF05144_PF05155_	1_II.faa	1_II.fna	10864_1977402_10867	7.142857142857142	7.142857142857142	357.12503970458954
2	2_X	3	3	PF05155_	2_X.faa	2_X.fna	10864_1977402_10867	7.142857142857142	7.142857142857142	715.5590857611417
3	208_hypothetical_protein	9	9	PF02303_	208_hypothetical_protein.faa	208_hypothetical_protein.fna	10864_1977402_10867_2011087_1346893_334856_1027253_1852597_10862	21.428571428571427	100	100
4	4_VII	3	3	PF19978_	4_VII.faa	4_VII.fna	10864_10868_1977402	7.142857142857142	7.142857142857142	784.0281724460829
5	5_IX	2	2		5_IX.faa	5_IX.fna	10864_1977402	4.761904761904762	4.761904761904762	767.471693630817
6	6_VIII	5	5	PF19199_	6_VIII.faa	6_VIII.fna	10864_10868_10869_1977402_10867	11.904761904761903	100	100
7	7_III	2	2	PF05357_PF05357_	7_III.faa	7_III.fna	10864_1977402	4.761904761904762	4.761904761904762	335.9476411954265
8	8_VI	4	4	PF17537_	8_VI.faa	8_VI.fna	10864_10868_1977402_10867	9.523809523809524	9.523809523809524	707.6423249847294
9	9_I	8	8	PF05707_	9_I.faa	9_I.fna	10864_10868_10869_1977402_1460070_10867_1340745_83201	19.047619047619047	100	100
10	10_IV	3	3	PF00263_	10_IV.faa	10_IV.fna	10864_10868_1977402	7.142857142857142	7.142857142857142	335.0932018011887
11	11_ss-DNA_binding_prote..	1	1		11_ss-DNA_binding_prote...faa	11_ss-DNA_binding_prote...fna	10868	2.380952380952381	2.380952380952381	2.380952380952381
12	13_IX	1	1		13_IX.faa	13_IX.fna	10868	2.380952380952381	2.380952380952381	2.380952380952381
13	15_III	1	1	PF05357_	15_III.faa	15_III.fna	10868	2.380952380952381	2.380952380952381	297.4750565518219
14	19_hypothetical_protein	1	1	PF01385_PF07282_	19_hypothetical_protein.faa	19_hypothetical_protein.fna	10868	2.380952380952381	2.380952380952381	2.380952380952381
