"","1_beta_C1","34_beta_V1","35_beta_C1","78_c1"
"1175505",FALSE,FALSE,FALSE,FALSE
"912035",FALSE,FALSE,FALSE,FALSE
"635076",FALSE,FALSE,FALSE,FALSE
"169687",FALSE,FALSE,FALSE,FALSE
"185750",FALSE,FALSE,FALSE,FALSE
"329288",FALSE,FALSE,FALSE,FALSE
"2010316",FALSE,FALSE,FALSE,FALSE
"2010317",FALSE,FALSE,FALSE,FALSE
"447606",FALSE,FALSE,FALSE,FALSE
"1476485",FALSE,FALSE,FALSE,FALSE
"186371",FALSE,FALSE,FALSE,FALSE
"908010",FALSE,FALSE,FALSE,FALSE
"908072",FALSE,FALSE,FALSE,FALSE
"316106",FALSE,FALSE,FALSE,FALSE
"497865",FALSE,FALSE,FALSE,FALSE
"1736759",FALSE,FALSE,FALSE,FALSE
"2010286",FALSE,FALSE,FALSE,FALSE
"1335766",FALSE,FALSE,FALSE,FALSE
"2010315",FALSE,FALSE,FALSE,FALSE
"1297646",FALSE,FALSE,FALSE,FALSE
"307111",FALSE,FALSE,FALSE,FALSE
"134386",FALSE,FALSE,FALSE,FALSE
"713092",FALSE,FALSE,FALSE,FALSE
"304222",FALSE,FALSE,FALSE,FALSE
"306025",FALSE,FALSE,FALSE,FALSE
"189515",FALSE,FALSE,FALSE,FALSE
"292627",FALSE,FALSE,FALSE,FALSE
"411248",FALSE,FALSE,FALSE,FALSE
"640136",FALSE,FALSE,FALSE,FALSE
"447603",FALSE,FALSE,FALSE,FALSE
"221054",FALSE,FALSE,FALSE,FALSE
"2010319",FALSE,FALSE,FALSE,FALSE
"1200971",FALSE,FALSE,FALSE,FALSE
"1428189",FALSE,TRUE,TRUE,FALSE
"435486",FALSE,FALSE,FALSE,FALSE
"221037",FALSE,FALSE,FALSE,FALSE
"1198498",FALSE,FALSE,FALSE,FALSE
"417192",FALSE,FALSE,FALSE,FALSE
"1273128",FALSE,FALSE,FALSE,FALSE
"670251",FALSE,FALSE,FALSE,FALSE
"447605",FALSE,FALSE,FALSE,FALSE
"570832",FALSE,FALSE,FALSE,FALSE
"325113",FALSE,FALSE,FALSE,FALSE
"1705090",FALSE,FALSE,FALSE,FALSE
