1_P3,10_hypothetical_protein,11_P2,14_hypothetical_protein,15_hypothetical_protein,18_hypothetical_protein,2_P2,20_hypothetical_protein,21_hypothetical_protein,24_hypothetical_protein,25_hypothetical_protein,26_putative_replication-associated_protein,27_hypothetical_protein,4_replication_associat..,5_P3,9_P3
662.76483154296875,-735.2408447265625,-882.716552734375,-777.58697509765625,-950.00274658203125,-856.0679931640625,-940.23779296875,-894.03680419921875,-652.70794677734375,-1320.17919921875,-1495.226806640625,-1880.1060791015625,-1626.8431396484375,-1643.99365234375,-444.443359375,-971.06488037109375
-735.2408447265625,735.9632568359375,-943.32244873046875,-809.2552490234375,-1068.714599609375,-878.001953125,-945.693603515625,-869.2625732421875,-686.60546875,-1357.8291015625,-1478.8876953125,-1894.34521484375,-1644.989013671875,-1641.9951171875,-701.6312255859375,-988.95751953125
-882.716552734375,-943.32244873046875,903.76922607421875,-929.95281982421875,-994.72479248046875,-965.06744384765625,-978.63818359375,-953.2796630859375,-753.5504150390625,-1322.70751953125,-1503.14697265625,-1885.38134765625,-1556.368408203125,-1660.7066650390625,-909.5623779296875,-1073.563720703125
-777.58697509765625,-809.2552490234375,-929.95281982421875,697.19403076171875,-1061.5804443359375,-904.54541015625,-1001.695068359375,-816.54541015625,-684.29803466796875,-1349.586181640625,-1539.0968017578125,-1870.1904296875,-1610.55859375,-1639.578125,-730.95196533203125,-968.45745849609375
-950.00274658203125,-1068.714599609375,-994.72479248046875,-1061.5804443359375,996.401123046875,-1061.19921875,-997.1787109375,-1006.224853515625,-911.7061767578125,-1269.48095703125,-1559.255615234375,-1907.125732421875,-1557.224365234375,-1693.6917724609375,-992.1085205078125,-1165.474609375
-856.0679931640625,-878.001953125,-965.06744384765625,-904.54541015625,-1061.19921875,895.16192626953125,-1053.4957275390625,-953.54193115234375,-849.10638427734375,-1379.6143798828125,-1570.46533203125,-1914.53564453125,-1644.094970703125,-1655.409423828125,-816.78851318359375,-1099.4490966796875
-940.23779296875,-945.693603515625,-978.63818359375,-1001.695068359375,-997.1787109375,-1053.4957275390625,934.75799560546875,-985.62860107421875,-855.15087890625,-1256.3841552734375,-1594.421142578125,-1834.4161376953125,-1560.486328125,-1652.8868408203125,-934.7801513671875,-1112.3905029296875
-894.03680419921875,-869.2625732421875,-953.2796630859375,-816.54541015625,-1006.224853515625,-953.54193115234375,-985.62860107421875,843.51812744140625,-747.717529296875,-1362.87890625,-1548.601806640625,-1881.4544677734375,-1623.69384765625,-1634.0767822265625,-850.560302734375,-1025.531494140625
-652.70794677734375,-686.60546875,-753.5504150390625,-684.29803466796875,-911.7061767578125,-849.10638427734375,-855.15087890625,-747.717529296875,406.13775634765625,-1267.41650390625,-1405.818359375,-1862.3603515625,-1555.2047119140625,-1635.1385498046875,-644.9703369140625,-884.50244140625
-1320.17919921875,-1357.8291015625,-1322.70751953125,-1349.586181640625,-1269.48095703125,-1379.6143798828125,-1256.3841552734375,-1362.87890625,-1267.41650390625,1424.5166015625,-1688.9876708984375,-1987.175537109375,-1422.4073486328125,-1842.42529296875,-1277.4476318359375,-1373.33642578125
-1495.226806640625,-1478.8876953125,-1503.14697265625,-1539.0968017578125,-1559.255615234375,-1570.46533203125,-1594.421142578125,-1548.601806640625,-1405.818359375,-1688.9876708984375,1678.435546875,-2168.8623046875,-1836.40771484375,-1958.68408203125,-1529.902099609375,-1596.1669921875
-1880.1060791015625,-1894.34521484375,-1885.38134765625,-1870.1904296875,-1907.125732421875,-1914.53564453125,-1834.4161376953125,-1881.4544677734375,-1862.3603515625,-1987.175537109375,-2168.8623046875,2082.984375,-2131.0380859375,-645.92388916015625,-1863.973388671875,-1944.7122802734375
-1626.8431396484375,-1644.989013671875,-1556.368408203125,-1610.55859375,-1557.224365234375,-1644.094970703125,-1560.486328125,-1623.69384765625,-1555.2047119140625,-1422.4073486328125,-1836.40771484375,-2131.0380859375,1755.304443359375,-1993.234375,-1624.918701171875,-1647.9268798828125
-1643.99365234375,-1641.9951171875,-1660.7066650390625,-1639.578125,-1693.6917724609375,-1655.409423828125,-1652.8868408203125,-1634.0767822265625,-1635.1385498046875,-1842.42529296875,-1958.68408203125,-645.92388916015625,-1993.234375,1820.4580078125,-1634.314697265625,-1663.016845703125
-444.443359375,-701.6312255859375,-909.5623779296875,-730.95196533203125,-992.1085205078125,-816.78851318359375,-934.7801513671875,-850.560302734375,-644.9703369140625,-1277.4476318359375,-1529.902099609375,-1863.973388671875,-1624.918701171875,-1634.314697265625,667.0684814453125,-984.7989501953125
-971.06488037109375,-988.95751953125,-1073.563720703125,-968.45745849609375,-1165.474609375,-1099.4490966796875,-1112.3905029296875,-1025.531494140625,-884.50244140625,-1373.33642578125,-1596.1669921875,-1944.7122802734375,-1647.9268798828125,-1663.016845703125,-984.7989501953125,1011.3604736328125
