source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Smacoviridae/cluster_2_homologues_19062021_0820_intersection	1_putative_capsid_prot...faa	2_replication_associat...faa	15_ORF5.faa	16_ORF3.faa	17_ORF6.faa	19_ORF4.faa	45_hypothetical_protein.faa	48_hypothetical_protein.faa	49_hypothetical_protein.faa	65_Rep_protein.faa
Bovine-faeces-associated-smacovirus-1_taxid_1843749.gbk	1	1	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-2_taxid_1843750.gbk	1	1	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-3_taxid_1843751.gbk	1	1	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-4_taxid_1843752.gbk	1	1	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-5_taxid_1843753.gbk	1	1	0	0	0	0	0	0	0	0
Bovine-faeces-associated-smacovirus-6_taxid_1843754.gbk	1	1	0	0	0	0	0	0	0	0
Chimpanzee-associated-porprismacovirus-1_taxid_2170109.gbk	1	1	0	0	0	0	0	0	0	0
Chimpanzee-associated-porprismacovirus-2_taxid_2170110.gbk	1	1	1	1	1	1	0	0	0	0
Gorilla-associated-porprismacovirus-1_taxid_2170111.gbk	1	1	0	0	0	0	0	0	0	0
Howler-monkey-associated-porprismacovirus-1_taxid_2170112.gbk	1	1	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-1_taxid_2169934.gbk	1	1	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-2_taxid_2169935.gbk	1	1	0	0	0	0	0	0	0	0
Human-associated-huchismacovirus-3_taxid_2169936.gbk	1	1	0	0	0	0	0	0	0	0
Human-associated-porprismacovirus-2_taxid_2170114.gbk	1	1	0	0	0	0	0	0	0	0
Human-feces-smacovirus-2_taxid_1820158.gbk	1	1	0	0	0	0	0	0	0	0
Human-feces-smacovirus-3_taxid_1820159.gbk	1	1	0	0	0	0	0	0	0	0
Human-smacovirus-1_taxid_1595998.gbk	1	1	0	0	0	0	0	0	0	0
Lemur-associated-porprismacovirus-1_taxid_2170115.gbk	1	1	0	0	0	0	0	0	0	0
Odonata-associated-circular-virus-21_taxid_1592122.gbk	1	1	0	0	0	0	0	0	0	0
Odonata-associated-circular-virus-5_taxid_1592125.gbk	1	1	0	0	0	0	0	0	0	0
Pig-stool-associated-circular-ssDNA-virus-GER2011_taxid_1114942.gbk	1	1	0	0	0	0	1	1	1	0
PoSCV-Kor-J481_taxid_1488557.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-10_taxid_2170117.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-3_taxid_2170119.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-5_taxid_2170121.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-6_taxid_2170122.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-7_taxid_2170123.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-8_taxid_2170124.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-associated-porprismacovirus-9_taxid_2170125.gbk	1	0	0	0	0	0	0	0	0	1
Porcine-stool-associated-circular-virus-2_taxid_1328031.gbk	1	1	0	0	0	0	0	0	0	0
Porcine-stool-associated-circular-virus_taxid_1843773.gbk	1	1	0	0	0	0	0	0	0	0
Rat-associated-porprismacovirus-1_taxid_2170126.gbk	1	1	0	0	0	0	0	0	0	0
Sheep-faeces-associated-smacovirus-2_taxid_1843757.gbk	1	1	0	0	0	0	0	0	0	0
Sheep-faeces-associated-smacovirus-3_taxid_1843758.gbk	1	1	0	0	0	0	0	0	0	0
