source:/home/abelardo/Documents/Semestre2021-2/ssDNA_invoking_gethoms/results/Get_homologues/Circoviridae/cluster_2_homologues_19062021_0417_intersection	1_replication-associat...faa	2_putative_capsid_prot...faa	3_putative_capsid_prot...faa	5_putative_capsid_prot...faa	6_replication-associat...faa	7_putative_capsid_prot...faa	10_hypothetical_protein.faa	11_hypothetical_protein.faa	12_hypothetical_protein.faa	13_hypothetical_protein.faa	15_hypothetical_protein.faa	17_hypothetical_protein.faa	18_hypothetical_protein.faa	19_putative_viral_capsi...faa	20_hypothetical_protein.faa	22_replication-associat...faa	24_hypothetical_protein.faa	25_hypothetical_protein.faa	28_replication-associat...faa	29_hypothetical_protein.faa	31_hypothetical_protein.faa	32_hypothetical_protein.faa	33_hypothetical_protein.faa	34_hypothetical_protein.faa	36_hypothetical_protein.faa	40_hypothetical_protein.faa	42_hypothetical_protein.faa	45_hypothetical_protein.faa	46_hypothetical_protein.faa	50_hypothetical_protein.faa	51_hypothetical_protein.faa	53_ORF2.faa	54_cap.faa	55_capsid-like_protein.faa	56_Rep-B.faa	62_capsid_protein.faa	63_hypothetical_protein.faa	65_hypothetical_protein.faa	67_hypothetical_protein.faa	69_Cap.faa	71_hypothetical_protein.faa	72_hypothetical_protein.faa	75_hypothetical_protein.faa	78_cap_protein.faa
Avon-Heathcote-Estuary-associated-circular-virus-15_taxid_1618238.gbk	ID:YP_009126916.1,	ID:YP_009126917.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-19_taxid_1618242.gbk	ID:YP_009126925.1,	-	ID:YP_009126924.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-27_taxid_1618251.gbk	-	-	-	ID:YP_009126880.1,	ID:YP_009126881.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Avon-Heathcote-Estuary-associated-circular-virus-3_taxid_1618254.gbk	ID:YP_009126877.1,	-	-	-	-	ID:YP_009126876.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-11-LDMD-2013_taxid_1379715.gbk	ID:YP_009109663.1,	-	-	-	-	-	ID:YP_009109664.1,	ID:YP_009109665.1,	ID:YP_009109666.1,	ID:YP_009109667.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-13-LDMD-2013_taxid_1379717.gbk	ID:YP_009109668.1,	-	-	-	-	-	-	-	-	-	ID:YP_009109669.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-14-LDMD-2013_taxid_1379718.gbk	ID:YP_009109670.1,	-	-	-	-	-	-	-	-	-	-	ID:YP_009109671.1,	ID:YP_009109672.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-15-LDMD-2013_taxid_1379719.gbk	ID:YP_009109675.1,	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109673.1,	ID:YP_009109674.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-18-LDMD-2013_taxid_1379722.gbk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109683.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Circoviridae-5-LDMD-2013_taxid_1379709.gbk	ID:YP_009109643.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ID:YP_009109641.1,	ID:YP_009109642.1,	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
